======================================================================
LEAD 1: L1.1b_paper_longer
  Preset: paper
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=512, layers=5, UniGRU
  Stacking: kernel=14 (280ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: adam lr=0.02 eps=0.1
  Noise: white=1.0, offset=0.2
  Batch: 64, Dropout: 0.4
  Seed: 42
======================================================================
  Loading 2000/8780 (8.9s)...
  Loading 4000/8780 (15.4s)...
  Loading 6000/8780 (21.5s)...
  Loading 8000/8780 (27.6s)...
Loaded 8780 trials (30.1s) — raw 256D, avg 315 frames

Sessions: 24 (18 train, 2 val, 4 test)
Trials: 6260 train, 720 val, 1800 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (UniGRU), 11.4M params
  Stacked input: 3584D → 512D
  RNN output: 512D
  Day-specific: 24 sessions (18 train, 6 shared)

Training: 309 epochs, 97 batches/epoch
Scheduler: linear, warmup=5

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   7.6571   7.6571    1.000   4.16e-03   5.1s ***
    2   3.8145   3.8145    1.000   8.12e-03   3.4s
    3   3.2519   3.2519    1.000   1.21e-02   3.8s
    4   3.2458   3.2458    1.000   1.60e-02   4.2s
    5   3.2403   3.2403    1.000   2.00e-02   4.2s
    6   3.2355   3.2355    1.000   1.99e-02   4.5s
    7   3.2287   3.2287    1.000   1.99e-02   4.3s
    8   3.2220   3.2220    1.000   1.98e-02   4.5s
    9   3.2158   3.2158    1.000   1.97e-02   4.3s
   10   3.2075   3.2075    1.000   1.97e-02   4.4s
   11   3.1983   3.1983    1.000   1.96e-02   4.5s
   12   3.1892   3.1892    1.000   1.95e-02   3.6s
   13   3.1764   3.1764    1.000   1.95e-02   3.5s
   14   3.1621   3.1621    1.000   1.94e-02   3.4s
   15   3.1450   3.1450    1.000   1.94e-02   3.4s ***
   16   3.1264   3.1264    1.000   1.93e-02   3.5s
   17   3.1033   3.1033    0.999   1.92e-02   3.4s ***
   18   3.0807   3.0807    0.994   1.92e-02   3.4s ***
   19   3.0563   3.0563    0.991   1.91e-02   3.4s ***
   20   3.0307   3.0307    0.955   1.90e-02   3.4s ***
   21   2.9989   2.9989    0.919   1.90e-02   3.4s ***
   22   2.9604   2.9604    0.863   1.89e-02   3.4s ***
   23   2.9152   2.9152    0.828   1.88e-02   3.3s ***
   24   2.8545   2.8545    0.815   1.88e-02   3.3s ***
   25   2.8025   2.8025    0.796   1.87e-02   3.5s ***
   26   2.7527   2.7527    0.794   1.86e-02   3.4s ***
   27   2.7121   2.7121    0.800   1.86e-02   3.3s
   28   2.6694   2.6694    0.784   1.85e-02   3.4s ***
   29   2.6345   2.6345    0.781   1.84e-02   3.8s ***
   30   2.6033   2.6033    0.779   1.84e-02   3.6s ***
   31   2.5721   2.5721    0.771   1.83e-02   3.6s ***
   32   2.5436   2.5436    0.768   1.83e-02   3.5s ***
   33   2.5183   2.5183    0.769   1.82e-02   3.5s
   34   2.4926   2.4926    0.767   1.81e-02   3.7s ***
   35   2.4674   2.4674    0.767   1.81e-02   3.5s
   36   2.4425   2.4425    0.765   1.80e-02   3.5s ***
   37   2.4210   2.4210    0.752   1.79e-02   3.5s ***
   38   2.4049   2.4049    0.748   1.79e-02   3.4s ***
   39   2.3787   2.3787    0.751   1.78e-02   3.5s
   40   2.3601   2.3601    0.752   1.77e-02   3.5s
   41   2.3406   2.3406    0.746   1.77e-02   3.5s ***
   42   2.3160   2.3160    0.740   1.76e-02   3.5s ***
   43   2.2956   2.2956    0.746   1.75e-02   3.5s
   44   2.2768   2.2768    0.739   1.75e-02   3.4s ***
   45   2.2614   2.2614    0.739   1.74e-02   3.4s
   46   2.2386   2.2386    0.737   1.73e-02   3.4s ***
   47   2.2161   2.2161    0.743   1.73e-02   3.4s
   48   2.1921   2.1921    0.740   1.72e-02   3.4s
   49   2.1711   2.1711    0.745   1.72e-02   3.5s
   50   2.1533   2.1533    0.739   1.71e-02   3.5s
   51   2.1394   2.1394    0.737   1.70e-02   3.4s ***
