======================================================================
LEAD 1: L1.1c_paper_withinday
  Preset: paper
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=512, layers=5, UniGRU
  Stacking: kernel=14 (280ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: adam lr=0.02 eps=0.1
  Noise: white=1.0, offset=0.2
  Batch: 64, Dropout: 0.4
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (13.7s)...
  Loading 4000/8780 (22.7s)...
  Loading 6000/8780 (33.5s)...
  Loading 8000/8780 (43.0s)...
Loaded 8780 trials (48.6s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (UniGRU), 11.4M params
  Stacked input: 3584D → 512D
  RNN output: 512D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 925 epochs, 108 batches/epoch
Scheduler: linear

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   3.5557   3.5557    1.000   2.00e-02   5.7s ***
    2   3.2316   3.2316    1.000   2.00e-02   3.5s
    3   3.2274   3.2274    1.000   1.99e-02   3.6s
    4   3.2217   3.2217    1.000   1.99e-02   3.5s
    5   3.2155   3.2155    1.000   1.99e-02   3.5s
    6   3.2087   3.2087    1.000   1.99e-02   3.6s
    7   3.2009   3.2009    1.000   1.98e-02   3.6s
    8   3.1915   3.1915    1.000   1.98e-02   3.5s
    9   3.1816   3.1816    1.000   1.98e-02   3.4s ***
   10   3.1683   3.1683    1.000   1.98e-02   3.4s ***
   11   3.1538   3.1538    1.000   1.98e-02   3.5s ***
   12   3.1362   3.1362    0.999   1.97e-02   3.4s ***
   13   3.1153   3.1153    0.995   1.97e-02   3.4s ***
   14   3.0924   3.0924    0.986   1.97e-02   3.5s ***
   15   3.0686   3.0686    0.970   1.97e-02   3.5s ***
   16   3.0431   3.0431    0.937   1.97e-02   3.4s ***
   17   3.0142   3.0142    0.905   1.96e-02   3.6s ***
   18   2.9809   2.9809    0.871   1.96e-02   3.4s ***
   19   2.9420   2.9420    0.833   1.96e-02   3.5s ***
   20   2.8923   2.8923    0.805   1.96e-02   3.5s ***
   21   2.8321   2.8321    0.774   1.95e-02   3.5s ***
   22   2.7841   2.7841    0.753   1.95e-02   3.5s ***
   23   2.7374   2.7374    0.735   1.95e-02   3.4s ***
   24   2.6978   2.6978    0.709   1.95e-02   3.6s ***
   25   2.6573   2.6573    0.698   1.95e-02   3.4s ***
   26   2.6245   2.6245    0.697   1.94e-02   3.4s ***
   27   2.5884   2.5884    0.684   1.94e-02   3.6s ***
   28   2.5576   2.5576    0.673   1.94e-02   3.4s ***
