======================================================================
LEAD 1: L1.2b_cffan_withinday
  Preset: cffan
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: adam lr=0.02 eps=0.1
  Noise: white=1.0, offset=0.2
  Batch: 64, Dropout: 0.4
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (10.2s)...
  Loading 4000/8780 (19.2s)...
  Loading 6000/8780 (30.1s)...
  Loading 8000/8780 (39.6s)...
Loaded 8780 trials (45.1s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.3M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 925 epochs, 108 batches/epoch
Scheduler: linear

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   3.3851   3.3851    1.000   2.00e-02   8.5s ***
    2   3.2036   3.2036    0.998   2.00e-02   6.3s ***
    3   3.1698   3.1698    0.979   1.99e-02   6.3s ***
    4   3.1309   3.1309    0.930   1.99e-02   6.2s ***
    5   3.0843   3.0843    0.835   1.99e-02   6.2s ***
    6   3.0267   3.0267    0.785   1.99e-02   6.3s ***
    7   2.9652   2.9652    0.755   1.98e-02   6.5s ***
    8   2.9004   2.9004    0.740   1.98e-02   6.3s ***
    9   2.8392   2.8392    0.731   1.98e-02   6.2s ***
   10   2.7650   2.7650    0.719   1.98e-02   6.3s ***
   11   2.6959   2.6959    0.684   1.98e-02   6.3s ***
   12   2.6256   2.6256    0.687   1.97e-02   6.3s
   13   2.5614   2.5614    0.665   1.97e-02   6.2s ***
   14   2.4970   2.4970    0.645   1.97e-02   6.2s ***
   15   2.4404   2.4404    0.621   1.97e-02   6.3s ***
   16   2.3905   2.3905    0.611   1.97e-02   6.2s ***
   17   2.3408   2.3408    0.595   1.96e-02   6.4s ***
   18   2.2949   2.2949    0.562   1.96e-02   6.2s ***
   19   2.2470   2.2470    0.551   1.96e-02   6.2s ***
   20   2.2030   2.2030    0.530   1.96e-02   6.3s ***
   21   2.1662   2.1662    0.519   1.95e-02   6.2s ***
   22   2.1254   2.1254    0.511   1.95e-02   6.2s ***
   23   2.0872   2.0872    0.499   1.95e-02   6.2s ***
   24   2.0509   2.0509    0.488   1.95e-02   6.3s ***
   25   2.0216   2.0216    0.481   1.95e-02   6.2s ***
   26   1.9866   1.9866    0.470   1.94e-02   6.3s ***
   27   1.9634   1.9634    0.467   1.94e-02   6.2s ***
   28   1.9292   1.9292    0.459   1.94e-02   6.3s ***
   29   1.8994   1.8994    0.454   1.94e-02   6.2s ***
   30   1.8781   1.8781    0.445   1.94e-02   6.2s ***
   31   1.8483   1.8483    0.436   1.93e-02   6.3s ***
   32   1.8277   1.8277    0.439   1.93e-02   6.1s
   33   1.8054   1.8054    0.431   1.93e-02   6.2s ***
   34   1.7808   1.7808    0.424   1.93e-02   6.3s ***
   35   1.7578   1.7578    0.420   1.92e-02   6.3s ***
   36   1.7401   1.7401    0.413   1.92e-02   6.1s ***
   37   1.7253   1.7253    0.404   1.92e-02   6.3s ***
   38   1.7038   1.7038    0.401   1.92e-02   6.2s ***
   39   1.6884   1.6884    0.398   1.92e-02   6.2s ***
   40   1.6719   1.6719    0.398   1.91e-02   6.2s
   41   1.6472   1.6472    0.392   1.91e-02   6.3s ***
   42   1.6404   1.6404    0.388   1.91e-02   6.2s ***
   43   1.6178   1.6178    0.384   1.91e-02   6.3s ***
   44   1.6038   1.6038    0.379   1.90e-02   6.3s ***
   45   1.5917   1.5917    0.375   1.90e-02   6.2s ***
   46   1.5743   1.5743    0.372   1.90e-02   6.2s ***
   47   1.5565   1.5565    0.364   1.90e-02   6.3s ***
   48   1.5440   1.5440    0.369   1.90e-02   6.2s
   49   1.5308   1.5308    0.362   1.89e-02   6.4s ***
   50   1.5154   1.5154    0.360   1.89e-02   6.2s ***
   51   1.5084   1.5084    0.353   1.89e-02   6.3s ***
   52   1.4999   1.4999    0.353   1.89e-02   6.4s
   53   1.4873   1.4873    0.351   1.89e-02   6.3s ***
