======================================================================
LEAD 1: L1.3_cibr_withinday
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (8.3s)...
  Loading 4000/8780 (14.4s)...
  Loading 6000/8780 (20.3s)...
  Loading 8000/8780 (26.3s)...
Loaded 8780 trials (28.7s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.3M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: step, warmup=5

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   6.4910   6.4910    1.000   2.08e-02   6.4s ***
    2   8.5413   8.5413    0.860   4.06e-02   5.1s ***
    3   3.2898   3.2898    0.817   6.04e-02   5.2s ***
    4   3.1429   3.1429    0.771   8.02e-02   5.3s ***
    5   3.0224   3.0224    0.774   1.00e-01   5.3s
    6   2.8828   2.8828    0.708   1.00e-01   5.3s ***
    7   2.7257   2.7257    0.690   1.00e-01   5.2s ***
    8   2.5586   2.5586    0.622   1.00e-01   5.2s ***
    9   2.4025   2.4025    0.570   1.00e-01   5.2s ***
   10   2.2643   2.2643    0.539   1.00e-01   5.2s ***
   11   2.1578   2.1578    0.515   1.00e-01   5.2s ***
   12   2.0597   2.0597    0.488   1.00e-01   5.2s ***
   13   1.9725   1.9725    0.469   1.00e-01   5.2s ***
   14   1.9061   1.9061    0.453   1.00e-01   5.1s ***
   15   1.8445   1.8445    0.436   1.00e-01   5.5s ***
   16   1.7853   1.7853    0.428   1.00e-01   5.2s ***
   17   1.7334   1.7334    0.409   1.00e-01   5.2s ***
   18   1.6908   1.6908    0.405   1.00e-01   5.2s ***
   19   1.6533   1.6533    0.386   1.00e-01   5.2s ***
   20   1.6107   1.6107    0.378   1.00e-01   5.2s ***
   21   1.5638   1.5638    0.375   1.00e-01   5.1s ***
   22   1.5441   1.5441    0.368   1.00e-01   5.1s ***
   23   1.5068   1.5068    0.354   1.00e-01   5.1s ***
   24   1.4737   1.4737    0.346   1.00e-01   5.2s ***
   25   1.4409   1.4409    0.341   1.00e-01   5.1s ***
   26   1.4211   1.4211    0.341   1.00e-01   5.4s
   27   1.3978   1.3978    0.336   1.00e-01   5.3s ***
   28   1.3741   1.3741    0.327   1.00e-01   5.1s ***
   29   1.3532   1.3532    0.322   1.00e-01   5.1s ***
   30   1.3212   1.3212    0.315   1.00e-01   5.4s ***
   31   1.2958   1.2958    0.312   1.00e-01   5.2s ***
   32   1.2845   1.2845    0.309   1.00e-01   5.2s ***
   33   1.2565   1.2565    0.304   1.00e-01   5.1s ***
   34   1.2378   1.2378    0.301   1.00e-01   5.3s ***
   35   1.2179   1.2179    0.298   1.00e-01   5.1s ***
   36   1.2055   1.2055    0.294   1.00e-01   5.2s ***
   37   1.1822   1.1822    0.289   1.00e-01   5.4s ***
   38   1.1634   1.1634    0.288   1.00e-01   5.1s ***
   39   1.1455   1.1455    0.291   1.00e-01   5.0s
   40   1.1341   1.1341    0.285   1.00e-01   5.0s ***
   41   1.1217   1.1217    0.275   1.00e-01   5.1s ***
   42   1.0994   1.0994    0.275   1.00e-01   5.0s ***
   43   1.0822   1.0822    0.275   1.00e-01   5.1s
   44   1.0723   1.0723    0.275   1.00e-01   5.1s ***
   45   1.0644   1.0644    0.272   1.00e-01   5.3s ***
   46   1.0497   1.0497    0.268   1.00e-01   4.9s ***
   47   1.0283   1.0283    0.261   1.00e-01   5.2s ***
   48   1.0196   1.0196    0.263   1.00e-01   5.0s
   49   1.0119   1.0119    0.262   1.00e-01   5.2s
   50   0.9882   0.9882    0.262   1.00e-01   5.0s
   51   0.9698   0.9698    0.256   1.00e-01   5.1s ***
   52   0.9723   0.9723    0.255   1.00e-01   5.2s ***
   53   0.9517   0.9517    0.255   1.00e-01   5.3s ***
   54   0.9470   0.9470    0.253   1.00e-01   5.1s ***
   55   0.9274   0.9274    0.248   1.00e-01   5.0s ***
   56   0.9170   0.9170    0.251   1.00e-01   5.0s
   57   0.9013   0.9013    0.248   1.00e-01   4.9s ***
   58   0.8947   0.8947    0.243   1.00e-01   5.0s ***
   59   0.8847   0.8847    0.245   1.00e-01   4.9s
   60   0.8749   0.8749    0.240   1.00e-01   5.1s ***
   61   0.8542   0.8542    0.240   1.00e-01   5.2s ***
   62   0.8550   0.8550    0.238   1.00e-01   5.4s ***
   63   0.8481   0.8481    0.237   1.00e-01   5.1s ***
   64   0.8355   0.8355    0.241   1.00e-01   5.2s
   65   0.8187   0.8187    0.238   1.00e-01   5.1s
   66   0.8138   0.8138    0.235   1.00e-01   5.2s ***
   67   0.8054   0.8054    0.235   1.00e-01   5.2s ***
   68   0.7922   0.7922    0.235   1.00e-01   5.0s
   69   0.7798   0.7798    0.233   1.00e-01   5.3s ***
   70   0.7740   0.7740    0.234   1.00e-01   5.0s
   71   0.7654   0.7654    0.231   1.00e-01   5.3s ***
   72   0.7556   0.7556    0.232   1.00e-01   5.1s
   73   0.7420   0.7420    0.233   1.00e-01   5.1s
   74   0.7329   0.7329    0.228   1.00e-01   5.2s ***
   75   0.7264   0.7264    0.226   1.00e-01   5.1s ***
   76   0.7137   0.7137    0.227   1.00e-01   5.2s
   77   0.7109   0.7109    0.229   1.00e-01   5.1s
   78   0.7040   0.7040    0.227   1.00e-01   5.2s
   79   0.6988   0.6988    0.222   1.00e-02   5.2s ***
   80   0.6490   0.6490    0.215   1.00e-02   5.1s ***
   81   0.6233   0.6233    0.215   1.00e-02   5.2s ***
   82   0.6195   0.6195    0.216   1.00e-02   5.1s
   83   0.6179   0.6179    0.214   1.00e-02   5.2s ***
   84   0.6095   0.6095    0.215   1.00e-02   5.1s
   85   0.6081   0.6081    0.213   1.00e-02   5.3s ***
   86   0.6025   0.6025    0.212   1.00e-02   5.2s ***
   87   0.6016   0.6016    0.213   1.00e-02   5.1s
   88   0.6050   0.6050    0.213   1.00e-02   5.1s
   89   0.6020   0.6020    0.212   1.00e-02   5.2s
   90   0.5919   0.5919    0.213   1.00e-02   5.5s
   91   0.5884   0.5884    0.212   1.00e-02   5.2s
   92   0.5918   0.5918    0.211   1.00e-02   5.5s ***
   93   0.5861   0.5861    0.213   1.00e-02   5.2s
   94   0.5827   0.5827    0.213   1.00e-02   5.3s
   95   0.5840   0.5840    0.212   1.00e-02   5.3s
   96   0.5861   0.5861    0.213   1.00e-02   5.3s
   97   0.5802   0.5802    0.212   1.00e-02   5.1s
   98   0.5764   0.5764    0.214   1.00e-02   5.3s
   99   0.5733   0.5733    0.212   1.00e-02   5.3s
  100   0.5684   0.5684    0.212   1.00e-02   5.2s
  101   0.5702   0.5702    0.211   1.00e-02   5.1s ***
  102   0.5648   0.5648    0.212   1.00e-02   5.3s
  103   0.5685   0.5685    0.212   1.00e-02   5.3s
  104   0.5642   0.5642    0.211   1.00e-02   5.2s ***
  105   0.5645   0.5645    0.211   1.00e-02   5.2s
  106   0.5676   0.5676    0.211   1.00e-02   5.2s
  107   0.5638   0.5638    0.211   1.00e-02   5.1s ***
  108   0.5560   0.5560    0.211   1.00e-02   5.0s
  109   0.5555   0.5555    0.210   1.00e-02   5.1s ***
  110   0.5590   0.5590    0.210   1.00e-02   5.1s ***
  111   0.5578   0.5578    0.211   1.00e-02   5.0s
  112   0.5544   0.5544    0.210   1.00e-02   5.0s
  113   0.5521   0.5521    0.211   1.00e-02   4.9s
  114   0.5511   0.5511    0.210   1.00e-02   5.1s
  115   0.5469   0.5469    0.209   1.00e-02   5.1s ***
  116   0.5475   0.5475    0.210   1.00e-02   5.0s
  117   0.5442   0.5442    0.210   1.00e-02   5.1s
