======================================================================
LEAD 1: L1.3a_cibr
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Seed: 42
======================================================================
  Loading 2000/8780 (8.7s)...
  Loading 4000/8780 (15.1s)...
  Loading 6000/8780 (21.3s)...
  Loading 8000/8780 (27.3s)...
Loaded 8780 trials (29.9s) — raw 256D, avg 315 frames

Sessions: 24 (18 train, 2 val, 4 test)
Trials: 6260 train, 720 val, 1800 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.3M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (18 train, 6 shared)

Training: 312 epochs, 48 batches/epoch
Scheduler: step, warmup=5

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   6.7672   6.7672    1.000   2.08e-02   5.9s ***
    2   6.2845   6.2845    0.907   4.06e-02   4.5s ***
    3   3.2496   3.2496    0.869   6.04e-02   4.5s ***
    4   3.1095   3.1095    0.813   8.02e-02   4.7s ***
    5   2.9773   2.9773    0.804   1.00e-01   4.9s ***
    6   2.8200   2.8200    0.787   1.00e-01   4.9s ***
    7   2.6387   2.6387    0.774   1.00e-01   4.8s ***
    8   2.4779   2.4779    0.775   1.00e-01   4.7s
    9   2.3390   2.3390    0.748   1.00e-01   4.7s ***
   10   2.2157   2.2157    0.751   1.00e-01   4.6s
   11   2.1050   2.1050    0.751   1.00e-01   4.5s
   12   2.0029   2.0029    0.759   1.00e-01   4.5s
   13   1.9348   1.9348    0.755   1.00e-01   4.4s
   14   1.8696   1.8696    0.761   1.00e-01   4.5s
   15   1.8008   1.8008    0.765   1.00e-01   4.5s
   16   1.7405   1.7405    0.761   1.00e-01   4.5s
   17   1.6872   1.6872    0.758   1.00e-01   4.5s
   18   1.6512   1.6512    0.765   1.00e-01   4.5s
   19   1.6111   1.6111    0.767   1.00e-01   4.5s
   20   1.5716   1.5716    0.755   1.00e-01   4.5s
   21   1.5481   1.5481    0.770   1.00e-01   4.5s
   22   1.5072   1.5072    0.762   1.00e-01   4.5s
   23   1.4750   1.4750    0.766   1.00e-01   4.7s
   24   1.4525   1.4525    0.777   1.00e-01   4.6s
   25   1.4155   1.4155    0.767   1.00e-01   4.6s
   26   1.3884   1.3884    0.769   1.00e-01   4.7s
   27   1.3690   1.3690    0.773   1.00e-01   4.6s
   28   1.3340   1.3340    0.771   1.00e-01   4.6s
   29   1.3183   1.3183    0.782   1.00e-01   4.7s
   30   1.3003   1.3003    0.779   1.00e-01   4.5s
   31   1.2841   1.2841    0.761   1.00e-01   4.5s
   32   1.2581   1.2581    0.772   1.00e-01   4.6s
   33   1.2446   1.2446    0.773   1.00e-01   4.6s
   34   1.2213   1.2213    0.778   1.00e-01   4.5s
   35   1.2001   1.2001    0.770   1.00e-01   4.4s
   36   1.1817   1.1817    0.779   1.00e-01   4.5s
   37   1.1678   1.1678    0.770   1.00e-01   4.5s
   38   1.1485   1.1485    0.768   1.00e-01   4.5s
   39   1.1357   1.1357    0.769   1.00e-01   4.5s
   40   1.1286   1.1286    0.772   1.00e-01   4.6s
