======================================================================
LEAD 1: L1.4_linderman_withinday
  Preset: linderman
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=512, layers=5, BiGRU
  Stacking: kernel=14 (280ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.025 momentum=0.9
  Noise: white=1.0, offset=0.2
  Batch: 64, Dropout: 0.4
  Post-RNN head: dim=256
  Speckled mask: p=0.3
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (8.2s)...
  Loading 4000/8780 (14.2s)...
  Loading 6000/8780 (20.1s)...
  Loading 8000/8780 (25.9s)...
Loaded 8780 trials (28.2s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 25.8M params
  Stacked input: 3584D → 512D
  RNN output: 1024D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 925 epochs, 108 batches/epoch
Scheduler: linear, warmup=5

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   4.6576   4.6576    1.000   5.20e-03   7.3s ***
    2   3.2587   3.2587    1.000   1.01e-02   5.4s
    3   3.2331   3.2331    1.000   1.51e-02   5.2s
    4   3.2135   3.2135    1.000   2.00e-02   5.6s
    5   3.1902   3.1902    1.000   2.50e-02   5.6s ***
    6   3.1376   3.1376    0.972   2.50e-02   5.7s ***
    7   3.0706   3.0706    0.910   2.49e-02   5.4s ***
    8   3.0007   3.0007    0.862   2.49e-02   5.6s ***
    9   2.9360   2.9360    0.818   2.49e-02   5.7s ***
   10   2.8697   2.8697    0.819   2.49e-02   5.9s
   11   2.8010   2.8010    0.791   2.48e-02   5.7s ***
   12   2.7247   2.7247    0.753   2.48e-02   5.7s ***
   13   2.6542   2.6542    0.738   2.48e-02   5.9s ***
   14   2.5881   2.5881    0.722   2.48e-02   5.8s ***
   15   2.5250   2.5250    0.692   2.47e-02   5.8s ***
   16   2.4716   2.4716    0.668   2.47e-02   5.6s ***
   17   2.4174   2.4174    0.643   2.47e-02   5.4s ***
