======================================================================
LEAD 1: L1.5_enhanced_withinday
  Preset: enhanced
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Post-RNN head: dim=256
  Speckled mask: p=0.3
  Orthogonal init: enabled
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (8.0s)...
  Loading 4000/8780 (13.9s)...
  Loading 6000/8780 (19.6s)...
  Loading 8000/8780 (25.4s)...
Loaded 8780 trials (27.6s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.7M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: step, warmup=5

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   4.7903   4.7903    1.000   2.08e-02   6.3s ***
    2   3.3965   3.3965    1.000   4.06e-02   5.4s
    3   3.2015   3.2015    1.000   6.04e-02   5.1s
    4   3.1234   3.1234    0.971   8.02e-02   5.2s ***
    5   3.0044   3.0044    0.815   1.00e-01   5.2s ***
    6   2.8482   2.8482    0.754   1.00e-01   5.1s ***
    7   2.6854   2.6854    0.697   1.00e-01   5.2s ***
    8   2.5288   2.5288    0.646   1.00e-01   5.1s ***
    9   2.3899   2.3899    0.611   1.00e-01   5.1s ***
   10   2.2679   2.2679    0.565   1.00e-01   5.2s ***
   11   2.1725   2.1725    0.534   1.00e-01   5.1s ***
   12   2.0979   2.0979    0.515   1.00e-01   5.2s ***
   13   2.0272   2.0272    0.499   1.00e-01   5.2s ***
   14   1.9641   1.9641    0.498   1.00e-01   5.4s ***
   15   1.9199   1.9199    0.480   1.00e-01   5.2s ***
   16   1.8717   1.8717    0.449   1.00e-01   5.3s ***
   17   1.8212   1.8212    0.440   1.00e-01   5.2s ***
   18   1.7913   1.7913    0.436   1.00e-01   5.3s ***
   19   1.7483   1.7483    0.431   1.00e-01   5.2s ***
   20   1.7234   1.7234    0.420   1.00e-01   5.1s ***
   21   1.6937   1.6937    0.408   1.00e-01   5.3s ***
   22   1.6733   1.6733    0.404   1.00e-01   5.3s ***
   23   1.6395   1.6395    0.391   1.00e-01   5.3s ***
   24   1.6254   1.6254    0.396   1.00e-01   5.1s
   25   1.6065   1.6065    0.395   1.00e-01   5.2s
   26   1.5883   1.5883    0.386   1.00e-01   5.2s ***
   27   1.5695   1.5695    0.378   1.00e-01   5.1s ***
   28   1.5531   1.5531    0.379   1.00e-01   5.3s
   29   1.5311   1.5311    0.368   1.00e-01   5.2s ***
   30   1.5191   1.5191    0.374   1.00e-01   5.7s
   31   1.5089   1.5089    0.368   1.00e-01   5.5s ***
   32   1.5015   1.5015    0.369   1.00e-01   5.1s
   33   1.4824   1.4824    0.354   1.00e-01   5.1s ***
   34   1.4806   1.4806    0.359   1.00e-01   5.2s
   35   1.4669   1.4669    0.353   1.00e-01   5.2s ***
   36   1.4603   1.4603    0.353   1.00e-01   5.1s
   37   1.4473   1.4473    0.348   1.00e-01   5.2s ***
   38   1.4301   1.4301    0.345   1.00e-01   5.2s ***
   39   1.4218   1.4218    0.349   1.00e-01   5.2s
   40   1.4025   1.4025    0.340   1.00e-01   5.2s ***
   41   1.3939   1.3939    0.339   1.00e-01   5.1s ***
   42   1.3890   1.3890    0.342   1.00e-01   5.1s
   43   1.3898   1.3898    0.336   1.00e-01   5.1s ***
   44   1.3771   1.3771    0.333   1.00e-01   5.1s ***
   45   1.3521   1.3521    0.330   1.00e-01   5.2s ***
   46   1.3533   1.3533    0.325   1.00e-01   5.1s ***
   47   1.3450   1.3450    0.325   1.00e-01   5.2s ***
   48   1.3313   1.3313    0.326   1.00e-01   5.3s
   49   1.3241   1.3241    0.329   1.00e-01   5.3s
   50   1.3314   1.3314    0.326   1.00e-01   5.3s
   51   1.3190   1.3190    0.323   1.00e-01   5.3s ***
   52   1.3182   1.3182    0.324   1.00e-01   5.5s
   53   1.3151   1.3151    0.321   1.00e-01   5.1s ***
   54   1.2918   1.2918    0.314   1.00e-01   5.4s ***
   55   1.2923   1.2923    0.314   1.00e-01   5.5s ***
   56   1.2658   1.2658    0.317   1.00e-01   5.2s
   57   1.2655   1.2655    0.306   1.00e-01   5.4s ***
   58   1.2562   1.2562    0.305   1.00e-01   5.3s ***
   59   1.2436   1.2436    0.315   1.00e-01   5.2s
   60   1.2672   1.2672    0.310   1.00e-01   5.2s
   61   1.2400   1.2400    0.302   1.00e-01   5.2s ***
   62   1.2385   1.2385    0.303   1.00e-01   5.1s
   63   1.2375   1.2375    0.304   1.00e-01   5.5s
   64   1.2181   1.2181    0.294   1.00e-01   5.4s ***
   65   1.2161   1.2161    0.301   1.00e-01   5.1s
   66   1.2237   1.2237    0.295   1.00e-01   5.2s
   67   1.2070   1.2070    0.296   1.00e-01   5.2s
   68   1.1995   1.1995    0.294   1.00e-01   5.7s
   69   1.1871   1.1871    0.296   1.00e-01   5.3s
   70   1.1823   1.1823    0.292   1.00e-01   5.0s ***
   71   1.1832   1.1832    0.293   1.00e-01   5.2s
   72   1.1691   1.1691    0.295   1.00e-01   5.3s
   73   1.1981   1.1981    0.297   1.00e-01   5.3s
   74   1.1784   1.1784    0.287   1.00e-01   5.2s ***
   75   1.1536   1.1536    0.287   1.00e-01   5.2s ***
   76   1.1446   1.1446    0.284   1.00e-01   5.2s ***
   77   1.1365   1.1365    0.292   1.00e-01   5.2s
   78   1.1524   1.1524    0.290   1.00e-01   5.2s
   79   1.1516   1.1516    0.287   1.00e-02   5.2s
   80   1.1069   1.1069    0.276   1.00e-02   5.2s ***
   81   1.0778   1.0778    0.274   1.00e-02   5.2s ***
   82   1.0613   1.0613    0.272   1.00e-02   5.2s ***
   83   1.0568   1.0568    0.270   1.00e-02   5.2s ***
   84   1.0492   1.0492    0.270   1.00e-02   5.1s
   85   1.0431   1.0431    0.268   1.00e-02   5.1s ***
   86   1.0401   1.0401    0.270   1.00e-02   5.2s
   87   1.0375   1.0375    0.268   1.00e-02   5.2s
   88   1.0329   1.0329    0.268   1.00e-02   5.2s
   89   1.0257   1.0257    0.268   1.00e-02   5.2s
   90   1.0240   1.0240    0.266   1.00e-02   5.1s ***
   91   1.0192   1.0192    0.265   1.00e-02   5.1s ***
   92   1.0165   1.0165    0.266   1.00e-02   5.1s
   93   1.0130   1.0130    0.262   1.00e-02   5.0s ***
   94   1.0164   1.0164    0.265   1.00e-02   5.1s
   95   1.0095   1.0095    0.264   1.00e-02   5.1s
   96   1.0104   1.0104    0.263   1.00e-02   5.2s
   97   0.9965   0.9965    0.262   1.00e-02   5.0s
   98   1.0024   1.0024    0.262   1.00e-02   5.1s ***
   99   0.9992   0.9992    0.263   1.00e-02   5.1s
  100   1.0083   1.0083    0.262   1.00e-02   5.1s
  101   0.9909   0.9909    0.261   1.00e-02   5.1s ***
  102   0.9939   0.9939    0.259   1.00e-02   5.1s ***
  103   0.9907   0.9907    0.260   1.00e-02   5.2s
  104   0.9870   0.9870    0.262   1.00e-02   5.2s
  105   0.9898   0.9898    0.259   1.00e-02   5.1s
  106   0.9864   0.9864    0.260   1.00e-02   5.1s
  107   0.9809   0.9809    0.260   1.00e-02   5.1s
  108   0.9795   0.9795    0.259   1.00e-02   5.3s
  109   0.9757   0.9757    0.259   1.00e-02   5.1s
  110   0.9773   0.9773    0.258   1.00e-02   5.0s ***
  111   0.9769   0.9769    0.258   1.00e-02   5.1s ***
  112   0.9705   0.9705    0.261   1.00e-02   5.2s
  113   0.9643   0.9643    0.258   1.00e-02   5.2s ***
  114   0.9670   0.9670    0.257   1.00e-02   5.1s ***
  115   0.9624   0.9624    0.257   1.00e-02   5.2s
  116   0.9659   0.9659    0.259   1.00e-02   5.2s
  117   0.9651   0.9651    0.256   1.00e-02   5.1s ***
