======================================================================
LEAD 1: L1.5a_cibr_k14
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=14 (280ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (8.0s)...
  Loading 4000/8780 (13.9s)...
  Loading 6000/8780 (19.6s)...
  Loading 8000/8780 (25.3s)...
Loaded 8780 trials (27.6s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 93.5M params
  Stacked input: 3584D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: step, warmup=5

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   6.4508   6.4508    1.000   2.08e-02   6.4s ***
    2   3.6804   3.6804    0.899   4.06e-02   4.8s ***
    3   3.2342   3.2342    0.842   6.04e-02   4.7s ***
    4   3.1301   3.1301    0.806   8.02e-02   4.7s ***
    5   3.0091   3.0091    0.784   1.00e-01   4.7s ***
    6   2.8963   2.8963    0.780   1.00e-01   4.6s ***
    7   2.7613   2.7613    0.684   1.00e-01   4.6s ***
    8   2.6116   2.6116    0.665   1.00e-01   4.7s ***
    9   2.4690   2.4690    0.591   1.00e-01   4.9s ***
   10   2.3348   2.3348    0.568   1.00e-01   4.7s ***
   11   2.2206   2.2206    0.527   1.00e-01   4.9s ***
   12   2.1170   2.1170    0.502   1.00e-01   4.8s ***
   13   2.0314   2.0314    0.479   1.00e-01   4.8s ***
   14   1.9606   1.9606    0.458   1.00e-01   4.8s ***
   15   1.8900   1.8900    0.449   1.00e-01   4.7s ***
   16   1.8336   1.8336    0.434   1.00e-01   4.7s ***
   17   1.7822   1.7822    0.422   1.00e-01   4.7s ***
   18   1.7311   1.7311    0.413   1.00e-01   4.7s ***
   19   1.6882   1.6882    0.401   1.00e-01   4.8s ***
   20   1.6530   1.6530    0.394   1.00e-01   4.7s ***
   21   1.6211   1.6211    0.391   1.00e-01   4.7s ***
   22   1.5803   1.5803    0.380   1.00e-01   4.7s ***
   23   1.5454   1.5454    0.369   1.00e-01   4.7s ***
   24   1.5191   1.5191    0.360   1.00e-01   4.8s ***
   25   1.5006   1.5006    0.361   1.00e-01   4.7s
   26   1.4721   1.4721    0.351   1.00e-01   4.7s ***
   27   1.4410   1.4410    0.347   1.00e-01   4.8s ***
   28   1.4171   1.4171    0.344   1.00e-01   4.8s ***
   29   1.3953   1.3953    0.337   1.00e-01   4.8s ***
   30   1.3741   1.3741    0.333   1.00e-01   4.8s ***
   31   1.3578   1.3578    0.325   1.00e-01   4.7s ***
   32   1.3310   1.3310    0.325   1.00e-01   4.8s
   33   1.3192   1.3192    0.316   1.00e-01   4.7s ***
   34   1.2953   1.2953    0.309   1.00e-01   4.8s ***
   35   1.2833   1.2833    0.313   1.00e-01   4.8s
   36   1.2754   1.2754    0.308   1.00e-01   4.8s ***
   37   1.2401   1.2401    0.301   1.00e-01   4.8s ***
   38   1.2294   1.2294    0.302   1.00e-01   4.8s
   39   1.2131   1.2131    0.299   1.00e-01   4.7s ***
   40   1.2050   1.2050    0.298   1.00e-01   4.8s ***
   41   1.1926   1.1926    0.290   1.00e-01   4.8s ***
   42   1.1703   1.1703    0.291   1.00e-01   4.7s
   43   1.1550   1.1550    0.286   1.00e-01   4.7s ***
   44   1.1461   1.1461    0.285   1.00e-01   4.8s ***
   45   1.1312   1.1312    0.280   1.00e-01   4.7s ***
   46   1.1157   1.1157    0.283   1.00e-01   4.8s
   47   1.1018   1.1018    0.278   1.00e-01   4.7s ***
   48   1.0861   1.0861    0.277   1.00e-01   4.8s ***
   49   1.0834   1.0834    0.276   1.00e-01   4.8s ***
   50   1.0629   1.0629    0.272   1.00e-01   4.8s ***
   51   1.0474   1.0474    0.268   1.00e-01   4.8s ***
   52   1.0400   1.0400    0.269   1.00e-01   4.8s
   53   1.0295   1.0295    0.269   1.00e-01   4.8s
   54   1.0122   1.0122    0.264   1.00e-01   4.7s ***
   55   1.0069   1.0069    0.260   1.00e-01   4.7s ***
   56   0.9888   0.9888    0.264   1.00e-01   5.1s
   57   0.9970   0.9970    0.261   1.00e-01   4.9s
   58   0.9751   0.9751    0.261   1.00e-01   4.9s
   59   0.9606   0.9606    0.259   1.00e-01   4.8s ***
   60   0.9466   0.9466    0.260   1.00e-01   4.7s
   61   0.9478   0.9478    0.254   1.00e-01   4.8s ***
   62   0.9292   0.9292    0.252   1.00e-01   4.7s ***
   63   0.9341   0.9341    0.253   1.00e-01   4.7s
