======================================================================
LEAD 1: L1.5b_cibr_h768
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=768, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (8.3s)...
  Loading 4000/8780 (14.5s)...
  Loading 6000/8780 (20.4s)...
  Loading 8000/8780 (26.3s)...
Loaded 8780 trials (28.8s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 57.6M params
  Stacked input: 8192D → 768D
  RNN output: 1536D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: step

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   3.8422   3.8422    0.821   1.00e-01   5.8s ***
    2   3.1131   3.1131    0.790   1.00e-01   4.5s ***
    3   2.9624   2.9624    0.776   1.00e-01   4.5s ***
    4   2.8144   2.8144    0.717   1.00e-01   4.6s ***
    5   2.6491   2.6491    0.660   1.00e-01   4.4s ***
    6   2.4979   2.4979    0.618   1.00e-01   4.4s ***
    7   2.3560   2.3560    0.568   1.00e-01   4.5s ***
    8   2.2370   2.2370    0.533   1.00e-01   4.5s ***
    9   2.1333   2.1333    0.508   1.00e-01   4.4s ***
   10   2.0426   2.0426    0.486   1.00e-01   4.3s ***
   11   1.9590   1.9590    0.465   1.00e-01   4.4s ***
   12   1.8919   1.8919    0.448   1.00e-01   4.4s ***
   13   1.8321   1.8321    0.438   1.00e-01   4.4s ***
   14   1.7830   1.7830    0.428   1.00e-01   4.4s ***
   15   1.7364   1.7364    0.414   1.00e-01   4.3s ***
   16   1.6845   1.6845    0.402   1.00e-01   4.3s ***
   17   1.6526   1.6526    0.392   1.00e-01   4.4s ***
   18   1.6085   1.6085    0.382   1.00e-01   4.3s ***
   19   1.5788   1.5788    0.377   1.00e-01   4.3s ***
   20   1.5479   1.5479    0.370   1.00e-01   4.3s ***
   21   1.5133   1.5133    0.362   1.00e-01   4.3s ***
   22   1.4896   1.4896    0.356   1.00e-01   4.2s ***
   23   1.4587   1.4587    0.349   1.00e-01   4.3s ***
   24   1.4419   1.4419    0.343   1.00e-01   4.3s ***
   25   1.4102   1.4102    0.338   1.00e-01   4.3s ***
   26   1.3855   1.3855    0.335   1.00e-01   4.4s ***
   27   1.3671   1.3671    0.330   1.00e-01   4.4s ***
   28   1.3447   1.3447    0.320   1.00e-01   4.3s ***
   29   1.3201   1.3201    0.318   1.00e-01   4.2s ***
   30   1.3050   1.3050    0.312   1.00e-01   4.3s ***
   31   1.2834   1.2834    0.307   1.00e-01   4.4s ***
   32   1.2681   1.2681    0.312   1.00e-01   4.3s
   33   1.2515   1.2515    0.305   1.00e-01   4.4s ***
   34   1.2206   1.2206    0.300   1.00e-01   4.3s ***
   35   1.2047   1.2047    0.296   1.00e-01   4.4s ***
   36   1.2041   1.2041    0.293   1.00e-01   4.2s ***
   37   1.1857   1.1857    0.289   1.00e-01   4.5s ***
   38   1.1638   1.1638    0.284   1.00e-01   4.4s ***
   39   1.1488   1.1488    0.283   1.00e-01   4.4s ***
   40   1.1355   1.1355    0.279   1.00e-01   4.4s ***
   41   1.1318   1.1318    0.277   1.00e-01   4.4s ***
   42   1.1104   1.1104    0.281   1.00e-01   4.4s
   43   1.1014   1.1014    0.276   1.00e-01   4.3s ***
   44   1.0875   1.0875    0.274   1.00e-01   4.4s ***
   45   1.0819   1.0819    0.270   1.00e-01   4.3s ***
   46   1.0569   1.0569    0.267   1.00e-01   4.4s ***
   47   1.0405   1.0405    0.267   1.00e-01   4.3s ***
   48   1.0415   1.0415    0.265   1.00e-01   4.4s ***
   49   1.0180   1.0180    0.261   1.00e-01   4.4s ***
   50   1.0185   1.0185    0.258   1.00e-01   4.3s ***
   51   0.9998   0.9998    0.260   1.00e-01   4.3s
   52   0.9875   0.9875    0.257   1.00e-01   4.3s ***
   53   0.9716   0.9716    0.255   1.00e-01   4.3s ***
   54   0.9635   0.9635    0.255   1.00e-01   4.3s ***
   55   0.9601   0.9601    0.254   1.00e-01   4.2s ***
   56   0.9535   0.9535    0.250   1.00e-01   4.4s ***
   57   0.9364   0.9364    0.255   1.00e-01   4.4s
   58   0.9267   0.9267    0.245   1.00e-01   4.4s ***
   59   0.9197   0.9197    0.247   1.00e-01   4.5s
   60   0.9055   0.9055    0.249   1.00e-01   4.4s
   61   0.9010   0.9010    0.245   1.00e-01   4.3s ***
   62   0.8867   0.8867    0.244   1.00e-01   4.2s ***
   63   0.8807   0.8807    0.242   1.00e-01   4.3s ***
   64   0.8652   0.8652    0.240   1.00e-01   4.3s ***
   65   0.8604   0.8604    0.236   1.00e-01   4.3s ***
   66   0.8520   0.8520    0.240   1.00e-01   4.3s
   67   0.8459   0.8459    0.238   1.00e-01   4.3s
   68   0.8355   0.8355    0.238   1.00e-01   4.3s
   69   0.8190   0.8190    0.233   1.00e-01   4.5s ***
   70   0.8201   0.8201    0.233   1.00e-01   4.4s
   71   0.8041   0.8041    0.231   1.00e-01   4.3s ***
   72   0.8005   0.8005    0.233   1.00e-01   4.4s
   73   0.7958   0.7958    0.234   1.00e-01   4.3s
   74   0.7841   0.7841    0.228   1.00e-02   4.3s ***
   75   0.7449   0.7449    0.223   1.00e-02   4.4s ***
   76   0.7262   0.7262    0.220   1.00e-02   4.4s ***
   77   0.7230   0.7230    0.221   1.00e-02   4.3s
   78   0.7110   0.7110    0.220   1.00e-02   4.3s ***
   79   0.7131   0.7131    0.220   1.00e-02   4.3s
   80   0.7105   0.7105    0.221   1.00e-02   4.3s
   81   0.7060   0.7060    0.220   1.00e-02   4.3s
   82   0.7038   0.7038    0.218   1.00e-02   4.3s ***
   83   0.6982   0.6982    0.217   1.00e-02   4.4s ***
   84   0.6973   0.6973    0.219   1.00e-02   4.4s
   85   0.6875   0.6875    0.218   1.00e-02   4.3s
   86   0.6900   0.6900    0.219   1.00e-02   4.1s
   87   0.6903   0.6903    0.218   1.00e-02   4.2s
   88   0.6878   0.6878    0.219   1.00e-02   4.2s
   89   0.6859   0.6859    0.218   1.00e-02   4.3s
   90   0.6795   0.6795    0.218   1.00e-02   4.3s
   91   0.6742   0.6742    0.217   1.00e-02   4.4s ***
   92   0.6729   0.6729    0.217   1.00e-02   4.5s
   93   0.6772   0.6772    0.216   1.00e-02   4.4s ***
   94   0.6760   0.6760    0.216   1.00e-02   4.5s ***
   95   0.6789   0.6789    0.216   1.00e-02   4.7s
   96   0.6691   0.6691    0.216   1.00e-02   4.4s
   97   0.6648   0.6648    0.215   1.00e-02   4.3s ***
   98   0.6728   0.6728    0.217   1.00e-02   4.5s
   99   0.6602   0.6602    0.216   1.00e-02   4.4s
  100   0.6585   0.6585    0.217   1.00e-02   4.3s
  101   0.6571   0.6571    0.215   1.00e-02   4.3s
  102   0.6623   0.6623    0.214   1.00e-02   4.3s ***
  103   0.6622   0.6622    0.215   1.00e-02   4.5s
  104   0.6545   0.6545    0.216   1.00e-02   4.4s
  105   0.6536   0.6536    0.216   1.00e-02   4.4s
  106   0.6480   0.6480    0.215   1.00e-02   4.4s
  107   0.6523   0.6523    0.215   1.00e-02   4.3s
  108   0.6456   0.6456    0.214   1.00e-02   4.4s ***
  109   0.6516   0.6516    0.215   1.00e-02   4.5s
  110   0.6551   0.6551    0.214   1.00e-02   4.3s
  111   0.6465   0.6465    0.214   1.00e-02   4.4s ***
  112   0.6471   0.6471    0.215   1.00e-02   4.4s
  113   0.6417   0.6417    0.215   1.00e-02   4.3s
  114   0.6401   0.6401    0.214   1.00e-02   4.4s ***
  115   0.6442   0.6442    0.213   1.00e-02   4.5s ***
  116   0.6430   0.6430    0.214   1.00e-02   4.3s
  117   0.6389   0.6389    0.214   1.00e-02   4.4s
  118   0.6405   0.6405    0.213   1.00e-02   4.5s ***
  119   0.6361   0.6361    0.214   1.00e-02   4.5s
  120   0.6361   0.6361    0.214   1.00e-02   4.4s
  121   0.6282   0.6282    0.214   1.00e-02   4.4s
  122   0.6292   0.6292    0.212   1.00e-02   4.4s ***
  123   0.6373   0.6373    0.213   1.00e-02   4.4s
  124   0.6253   0.6253    0.212   1.00e-02   4.4s ***
  125   0.6245   0.6245    0.213   1.00e-02   4.4s
  126   0.6335   0.6335    0.213   1.00e-02   4.4s
  127   0.6248   0.6248    0.212   1.00e-02   4.4s ***
  128   0.6222   0.6222    0.212   1.00e-02   4.4s
  129   0.6228   0.6228    0.213   1.00e-02   4.5s
  130   0.6210   0.6210    0.212   1.00e-02   4.4s
  131   0.6212   0.6212    0.211   1.00e-02   4.7s ***
  132   0.6156   0.6156    0.212   1.00e-02   4.4s
  133   0.6128   0.6128    0.212   1.00e-02   4.4s
  134   0.6236   0.6236    0.211   1.00e-02   4.3s
  135   0.6126   0.6126    0.212   1.00e-02   4.4s
  136   0.6158   0.6158    0.211   1.00e-02   4.4s ***
  137   0.6122   0.6122    0.212   1.00e-02   4.5s
  138   0.6163   0.6163    0.210   1.00e-02   4.5s ***
  139   0.6122   0.6122    0.212   1.00e-02   4.5s
  140   0.6095   0.6095    0.211   1.00e-02   4.4s
