======================================================================
LEAD 1: L1.5c_cibr_h1280
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1280, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (8.3s)...
  Loading 4000/8780 (14.6s)...
  Loading 6000/8780 (20.6s)...
  Loading 8000/8780 (26.6s)...
Loaded 8780 trials (29.0s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 149.9M params
  Stacked input: 8192D → 1280D
  RNN output: 2560D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: step

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   3.9411   3.9411    0.825   1.00e-01   6.9s ***
    2   3.1171   3.1171    0.791   1.00e-01   5.7s ***
    3   2.9497   2.9497    0.743   1.00e-01   5.6s ***
    4   2.7813   2.7813    0.692   1.00e-01   5.7s ***
    5   2.6197   2.6197    0.649   1.00e-01   5.9s ***
    6   2.4497   2.4497    0.602   1.00e-01   5.8s ***
    7   2.3154   2.3154    0.548   1.00e-01   5.7s ***
    8   2.1852   2.1852    0.522   1.00e-01   5.7s ***
    9   2.0800   2.0800    0.492   1.00e-01   5.7s ***
   10   1.9954   1.9954    0.469   1.00e-01   5.7s ***
   11   1.9204   1.9204    0.463   1.00e-01   5.7s ***
   12   1.8499   1.8499    0.439   1.00e-01   5.8s ***
   13   1.7988   1.7988    0.431   1.00e-01   5.7s ***
   14   1.7405   1.7405    0.418   1.00e-01   5.8s ***
   15   1.6926   1.6926    0.405   1.00e-01   5.7s ***
   16   1.6404   1.6404    0.389   1.00e-01   5.8s ***
   17   1.5977   1.5977    0.385   1.00e-01   5.6s ***
   18   1.5664   1.5664    0.370   1.00e-01   5.8s ***
   19   1.5300   1.5300    0.366   1.00e-01   5.8s ***
   20   1.4911   1.4911    0.361   1.00e-01   5.9s ***
   21   1.4641   1.4641    0.354   1.00e-01   5.7s ***
   22   1.4322   1.4322    0.344   1.00e-01   5.8s ***
   23   1.3991   1.3991    0.337   1.00e-01   5.7s ***
   24   1.3794   1.3794    0.328   1.00e-01   5.7s ***
   25   1.3537   1.3537    0.336   1.00e-01   5.7s
   26   1.3263   1.3263    0.323   1.00e-01   5.7s ***
   27   1.3025   1.3025    0.314   1.00e-01   5.7s ***
   28   1.2806   1.2806    0.312   1.00e-01   5.7s ***
   29   1.2552   1.2552    0.307   1.00e-01   5.6s ***
   30   1.2438   1.2438    0.310   1.00e-01   5.8s
   31   1.2184   1.2184    0.300   1.00e-01   5.7s ***
   32   1.1984   1.1984    0.296   1.00e-01   5.8s ***
   33   1.1781   1.1781    0.293   1.00e-01   5.9s ***
   34   1.1553   1.1553    0.288   1.00e-01   5.8s ***
   35   1.1388   1.1388    0.288   1.00e-01   5.8s ***
   36   1.1334   1.1334    0.284   1.00e-01   5.8s ***
   37   1.1157   1.1157    0.283   1.00e-01   5.8s ***
   38   1.1011   1.1011    0.278   1.00e-01   5.8s ***
   39   1.0771   1.0771    0.275   1.00e-01   5.8s ***
   40   1.0562   1.0562    0.271   1.00e-01   5.8s ***
   41   1.0462   1.0462    0.273   1.00e-01   5.7s
   42   1.0299   1.0299    0.267   1.00e-01   5.8s ***
   43   1.0164   1.0164    0.264   1.00e-01   5.8s ***
   44   1.0006   1.0006    0.264   1.00e-01   5.9s
   45   0.9898   0.9898    0.263   1.00e-01   5.7s ***
   46   0.9774   0.9774    0.259   1.00e-01   5.7s ***
   47   0.9630   0.9630    0.255   1.00e-01   5.9s ***
   48   0.9480   0.9480    0.253   1.00e-01   5.8s ***
   49   0.9420   0.9420    0.255   1.00e-01   5.8s
   50   0.9223   0.9223    0.252   1.00e-01   5.7s ***
   51   0.9182   0.9182    0.252   1.00e-01   5.8s
   52   0.8929   0.8929    0.250   1.00e-01   5.7s ***
   53   0.8940   0.8940    0.247   1.00e-01   5.7s ***
   54   0.8724   0.8724    0.248   1.00e-01   5.8s
   55   0.8660   0.8660    0.243   1.00e-01   5.7s ***
   56   0.8525   0.8525    0.247   1.00e-01   5.8s
   57   0.8358   0.8358    0.242   1.00e-01   5.7s ***
   58   0.8378   0.8378    0.244   1.00e-01   5.7s
   59   0.8153   0.8153    0.241   1.00e-01   5.7s ***
   60   0.8185   0.8185    0.237   1.00e-01   5.9s ***
   61   0.7971   0.7971    0.237   1.00e-01   5.7s ***
   62   0.7893   0.7893    0.237   1.00e-01   5.7s ***
   63   0.7776   0.7776    0.236   1.00e-01   5.7s ***
   64   0.7734   0.7734    0.236   1.00e-01   5.7s
   65   0.7592   0.7592    0.234   1.00e-01   5.8s ***
   66   0.7410   0.7410    0.232   1.00e-01   5.7s ***
   67   0.7437   0.7437    0.232   1.00e-01   5.7s
   68   0.7255   0.7255    0.231   1.00e-01   5.7s ***
   69   0.7169   0.7169    0.231   1.00e-01   5.6s ***
   70   0.7100   0.7100    0.229   1.00e-01   5.7s ***
   71   0.7038   0.7038    0.228   1.00e-01   5.7s ***
   72   0.6903   0.6903    0.227   1.00e-01   5.7s ***
   73   0.6758   0.6758    0.226   1.00e-01   5.6s ***
   74   0.6734   0.6734    0.226   1.00e-02   5.7s ***
   75   0.6183   0.6183    0.220   1.00e-02   5.6s ***
   76   0.6042   0.6042    0.219   1.00e-02   5.6s ***
   77   0.5890   0.5890    0.218   1.00e-02   5.7s ***
   78   0.5903   0.5903    0.218   1.00e-02   5.6s ***
   79   0.5785   0.5785    0.216   1.00e-02   5.6s ***
   80   0.5747   0.5747    0.216   1.00e-02   5.6s
   81   0.5804   0.5804    0.217   1.00e-02   5.7s
   82   0.5727   0.5727    0.217   1.00e-02   5.6s
   83   0.5666   0.5666    0.216   1.00e-02   5.6s ***
   84   0.5655   0.5655    0.215   1.00e-02   5.6s ***
   85   0.5563   0.5563    0.215   1.00e-02   5.7s
   86   0.5659   0.5659    0.213   1.00e-02   5.6s ***
   87   0.5567   0.5567    0.216   1.00e-02   5.6s
   88   0.5597   0.5597    0.215   1.00e-02   5.6s
   89   0.5560   0.5560    0.214   1.00e-02   5.6s
   90   0.5514   0.5514    0.214   1.00e-02   5.5s
   91   0.5533   0.5533    0.213   1.00e-02   5.7s ***
   92   0.5458   0.5458    0.214   1.00e-02   5.8s
   93   0.5414   0.5414    0.214   1.00e-02   5.5s
   94   0.5438   0.5438    0.214   1.00e-02   5.7s
   95   0.5405   0.5405    0.214   1.00e-02   5.7s
   96   0.5385   0.5385    0.214   1.00e-02   5.8s
   97   0.5434   0.5434    0.213   1.00e-02   5.8s ***
   98   0.5350   0.5350    0.212   1.00e-02   5.7s ***
   99   0.5321   0.5321    0.212   1.00e-02   5.6s
  100   0.5361   0.5361    0.213   1.00e-02   5.7s
  101   0.5339   0.5339    0.214   1.00e-02   5.7s
  102   0.5278   0.5278    0.212   1.00e-02   5.7s
  103   0.5281   0.5281    0.212   1.00e-02   5.7s
  104   0.5324   0.5324    0.213   1.00e-02   5.8s
