======================================================================
LEAD 1: L1.5d_cibr_noise1.0
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=1.0, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (7.9s)...
  Loading 4000/8780 (13.9s)...
  Loading 6000/8780 (19.7s)...
  Loading 8000/8780 (25.5s)...
Loaded 8780 trials (27.8s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.3M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: step

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   3.6882   3.6882    0.999   1.00e-01   6.2s ***
    2   3.1547   3.1547    0.898   1.00e-01   4.7s ***
    3   3.0413   3.0413    0.800   1.00e-01   4.8s ***
    4   2.8974   2.8974    0.730   1.00e-01   4.8s ***
    5   2.7324   2.7324    0.690   1.00e-01   4.9s ***
    6   2.5847   2.5847    0.639   1.00e-01   4.9s ***
    7   2.4549   2.4549    0.595   1.00e-01   4.9s ***
    8   2.3405   2.3405    0.561   1.00e-01   5.1s ***
    9   2.2424   2.2424    0.521   1.00e-01   4.9s ***
   10   2.1473   2.1473    0.504   1.00e-01   4.9s ***
   11   2.0675   2.0675    0.493   1.00e-01   4.9s ***
   12   2.0005   2.0005    0.469   1.00e-01   4.9s ***
   13   1.9372   1.9372    0.455   1.00e-01   4.9s ***
   14   1.8901   1.8901    0.446   1.00e-01   4.9s ***
   15   1.8396   1.8396    0.430   1.00e-01   4.9s ***
   16   1.7937   1.7937    0.416   1.00e-01   4.8s ***
   17   1.7469   1.7469    0.405   1.00e-01   4.8s ***
   18   1.7176   1.7176    0.398   1.00e-01   5.0s ***
   19   1.6844   1.6844    0.392   1.00e-01   4.9s ***
   20   1.6522   1.6522    0.382   1.00e-01   4.9s ***
   21   1.6123   1.6123    0.377   1.00e-01   4.9s ***
   22   1.5910   1.5910    0.370   1.00e-01   4.9s ***
   23   1.5639   1.5639    0.357   1.00e-01   4.8s ***
   24   1.5340   1.5340    0.359   1.00e-01   4.8s
   25   1.5044   1.5044    0.349   1.00e-01   4.9s ***
   26   1.4896   1.4896    0.348   1.00e-01   4.8s ***
   27   1.4697   1.4697    0.339   1.00e-01   4.9s ***
   28   1.4483   1.4483    0.335   1.00e-01   4.9s ***
   29   1.4318   1.4318    0.330   1.00e-01   4.9s ***
   30   1.4043   1.4043    0.327   1.00e-01   4.8s ***
   31   1.3857   1.3857    0.324   1.00e-01   4.9s ***
   32   1.3805   1.3805    0.316   1.00e-01   4.9s ***
   33   1.3532   1.3532    0.314   1.00e-01   4.9s ***
   34   1.3322   1.3322    0.311   1.00e-01   4.8s ***
   35   1.3173   1.3173    0.304   1.00e-01   4.9s ***
   36   1.3051   1.3051    0.308   1.00e-01   4.8s
   37   1.2831   1.2831    0.298   1.00e-01   4.9s ***
   38   1.2706   1.2706    0.300   1.00e-01   4.8s
   39   1.2609   1.2609    0.298   1.00e-01   4.9s ***
   40   1.2465   1.2465    0.295   1.00e-01   4.9s ***
   41   1.2347   1.2347    0.292   1.00e-01   4.9s ***
   42   1.2177   1.2177    0.288   1.00e-01   4.8s ***
   43   1.2021   1.2021    0.286   1.00e-01   4.8s ***
   44   1.1978   1.1978    0.290   1.00e-01   4.9s
   45   1.1904   1.1904    0.281   1.00e-01   5.0s ***
   46   1.1709   1.1709    0.278   1.00e-01   4.8s ***
   47   1.1506   1.1506    0.275   1.00e-01   4.9s ***
   48   1.1536   1.1536    0.277   1.00e-01   4.9s
   49   1.1412   1.1412    0.276   1.00e-01   4.9s
   50   1.1217   1.1217    0.274   1.00e-01   4.9s ***
   51   1.1128   1.1128    0.270   1.00e-01   4.9s ***
   52   1.1034   1.1034    0.269   1.00e-01   4.9s ***
   53   1.0850   1.0850    0.264   1.00e-01   4.9s ***
   54   1.0915   1.0915    0.268   1.00e-01   5.0s
   55   1.0786   1.0786    0.263   1.00e-01   4.9s ***
   56   1.0688   1.0688    0.265   1.00e-01   4.8s
   57   1.0572   1.0572    0.260   1.00e-01   4.9s ***
   58   1.0600   1.0600    0.258   1.00e-01   4.9s ***
   59   1.0392   1.0392    0.259   1.00e-01   4.9s
   60   1.0229   1.0229    0.253   1.00e-01   5.0s ***
   61   1.0151   1.0151    0.253   1.00e-01   4.8s
   62   1.0174   1.0174    0.255   1.00e-01   4.8s
   63   1.0090   1.0090    0.252   1.00e-01   4.8s ***
   64   0.9940   0.9940    0.255   1.00e-01   4.9s
   65   0.9876   0.9876    0.251   1.00e-01   4.9s ***
   66   0.9745   0.9745    0.250   1.00e-01   4.9s ***
   67   0.9717   0.9717    0.246   1.00e-01   4.9s ***
   68   0.9561   0.9561    0.245   1.00e-01   4.9s ***
   69   0.9521   0.9521    0.249   1.00e-01   4.9s
   70   0.9492   0.9492    0.244   1.00e-01   4.8s ***
   71   0.9421   0.9421    0.246   1.00e-01   4.9s
   72   0.9291   0.9291    0.243   1.00e-01   4.8s ***
   73   0.9192   0.9192    0.244   1.00e-01   4.8s
   74   0.9092   0.9092    0.243   1.00e-02   4.9s ***
   75   0.8685   0.8685    0.232   1.00e-02   4.8s ***
   76   0.8386   0.8386    0.232   1.00e-02   4.9s
   77   0.8395   0.8395    0.229   1.00e-02   4.8s ***
   78   0.8312   0.8312    0.229   1.00e-02   4.9s ***
   79   0.8299   0.8299    0.229   1.00e-02   4.9s
   80   0.8255   0.8255    0.230   1.00e-02   4.9s
   81   0.8161   0.8161    0.229   1.00e-02   4.9s
   82   0.8120   0.8120    0.228   1.00e-02   4.9s ***
   83   0.8120   0.8120    0.228   1.00e-02   4.9s ***
   84   0.8054   0.8054    0.228   1.00e-02   5.0s ***
   85   0.8054   0.8054    0.227   1.00e-02   4.9s ***
   86   0.8020   0.8020    0.225   1.00e-02   4.9s ***
   87   0.8037   0.8037    0.226   1.00e-02   4.8s
   88   0.8050   0.8050    0.225   1.00e-02   4.8s
   89   0.7940   0.7940    0.226   1.00e-02   4.8s
   90   0.7931   0.7931    0.225   1.00e-02   4.9s
   91   0.7889   0.7889    0.226   1.00e-02   4.8s
   92   0.7909   0.7909    0.225   1.00e-02   4.9s
   93   0.7885   0.7885    0.226   1.00e-02   4.9s
   94   0.7828   0.7828    0.225   1.00e-02   4.8s ***
   95   0.7822   0.7822    0.225   1.00e-02   4.9s ***
   96   0.7842   0.7842    0.225   1.00e-02   4.9s ***
   97   0.7796   0.7796    0.223   1.00e-02   4.8s ***
   98   0.7758   0.7758    0.225   1.00e-02   4.8s
   99   0.7740   0.7740    0.222   1.00e-02   4.8s ***
  100   0.7667   0.7667    0.224   1.00e-02   4.9s
  101   0.7707   0.7707    0.223   1.00e-02   4.9s
  102   0.7656   0.7656    0.222   1.00e-02   5.0s ***
  103   0.7697   0.7697    0.223   1.00e-02   4.9s
