======================================================================
LEAD 1: L1.5e_cibr_layers7
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=7, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (7.9s)...
  Loading 4000/8780 (13.8s)...
  Loading 6000/8780 (19.5s)...
  Loading 8000/8780 (25.3s)...
Loaded 8780 trials (27.6s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 136.0M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: step

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   6.4811   6.4811    0.869   1.00e-01   7.7s ***
    2   6.9839   6.9839    0.809   1.00e-01   6.2s ***
    3   5.8432   5.8432    0.893   1.00e-01   6.2s
    4   5.3137   5.3137    0.734   1.00e-01   6.4s ***
    5   3.9598   3.9598    0.731   1.00e-01   6.3s ***
    6   3.1212   3.1212    0.753   1.00e-01   6.2s
    7   2.9920   2.9920    0.796   1.00e-01   6.3s
    8   2.9002   2.9002    0.751   1.00e-01   6.4s
    9   2.8591   2.8591    0.737   1.00e-01   6.2s
   10   2.8082   2.8082    0.716   1.00e-01   6.3s ***
   11   2.7816   2.7816    0.720   1.00e-01   6.4s
   12   2.7641   2.7641    0.716   1.00e-01   6.2s ***
   13   2.7297   2.7297    0.701   1.00e-01   6.4s ***
   14   2.7038   2.7038    0.703   1.00e-01   6.4s
   15   2.6747   2.6747    0.688   1.00e-01   6.3s ***
   16   2.6388   2.6388    0.692   1.00e-01   6.4s
   17   2.6020   2.6020    0.677   1.00e-01   6.3s ***
   18   2.5668   2.5668    0.679   1.00e-01   6.5s
   19   2.5390   2.5390    0.657   1.00e-01   6.4s ***
   20   2.4994   2.4994    0.655   1.00e-01   6.2s ***
   21   2.4528   2.4528    0.654   1.00e-01   6.3s ***
   22   2.4258   2.4258    0.640   1.00e-01   6.3s ***
   23   2.3868   2.3868    0.625   1.00e-01   6.3s ***
   24   2.3470   2.3470    0.623   1.00e-01   6.3s ***
   25   2.3509   2.3509    0.626   1.00e-01   6.3s
   26   2.3329   2.3329    0.612   1.00e-01   6.2s ***
   27   2.2908   2.2908    0.614   1.00e-01   6.3s
   28   2.2873   2.2873    0.601   1.00e-01   6.3s ***
   29   2.2545   2.2545    0.595   1.00e-01   6.4s ***
   30   2.2148   2.2148    0.585   1.00e-01   6.4s ***
   31   2.1882   2.1882    0.574   1.00e-01   6.3s ***
   32   2.1506   2.1506    0.563   1.00e-01   6.3s ***
   33   2.1280   2.1280    0.553   1.00e-01   6.5s ***
   34   2.1013   2.1013    0.549   1.00e-01   6.2s ***
   35   2.0698   2.0698    0.539   1.00e-01   6.3s ***
   36   2.0518   2.0518    0.540   1.00e-01   6.4s
   37   2.0350   2.0350    0.528   1.00e-01   6.2s ***
   38   1.9917   1.9917    0.526   1.00e-01   6.3s ***
   39   1.9757   1.9757    0.515   1.00e-01   6.2s ***
   40   1.9595   1.9595    0.512   1.00e-01   6.4s ***
   41   1.9382   1.9382    0.509   1.00e-01   6.4s ***
   42   1.9171   1.9171    0.496   1.00e-01   6.4s ***
