======================================================================
LEAD 1: L1.5f_cibr_cosine
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (7.7s)...
  Loading 4000/8780 (13.5s)...
  Loading 6000/8780 (19.1s)...
  Loading 8000/8780 (24.9s)...
Loaded 8780 trials (27.1s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.3M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: cosine

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   3.7852   3.7852    0.873   1.00e-01   6.1s ***
    2   3.1224   3.1224    0.818   1.00e-01   4.8s ***
    3   2.9768   2.9768    0.759   1.00e-01   4.9s ***
    4   2.8094   2.8094    0.710   1.00e-01   4.9s ***
    5   2.6312   2.6312    0.667   1.00e-01   4.8s ***
    6   2.4695   2.4695    0.601   1.00e-01   4.9s ***
    7   2.3265   2.3265    0.560   1.00e-01   4.9s ***
    8   2.2126   2.2126    0.522   1.00e-01   5.0s ***
    9   2.1084   2.1084    0.494   1.00e-01   4.9s ***
   10   2.0112   2.0112    0.481   1.00e-01   4.8s ***
   11   1.9344   1.9344    0.463   1.00e-01   4.8s ***
   12   1.8634   1.8634    0.449   1.00e-01   4.9s ***
   13   1.8015   1.8015    0.428   1.00e-01   4.8s ***
   14   1.7549   1.7549    0.419   1.00e-01   4.8s ***
   15   1.7021   1.7021    0.408   1.00e-01   4.8s ***
   16   1.6527   1.6527    0.392   1.00e-01   4.8s ***
   17   1.6111   1.6111    0.379   1.00e-01   4.8s ***
   18   1.5820   1.5820    0.374   1.00e-01   4.9s ***
   19   1.5477   1.5477    0.366   1.00e-01   4.9s ***
   20   1.5157   1.5157    0.357   1.00e-01   4.8s ***
   21   1.4724   1.4724    0.356   1.00e-01   4.8s ***
   22   1.4517   1.4517    0.343   1.00e-01   4.8s ***
   23   1.4231   1.4231    0.337   1.00e-01   4.8s ***
   24   1.3928   1.3928    0.333   1.00e-01   4.8s ***
   25   1.3625   1.3625    0.327   1.00e-01   4.9s ***
   26   1.3500   1.3500    0.325   1.00e-01   4.8s ***
   27   1.3230   1.3230    0.318   9.99e-02   4.9s ***
   28   1.3028   1.3028    0.313   9.99e-02   4.9s ***
   29   1.2867   1.2867    0.313   9.99e-02   5.0s
