======================================================================
LEAD 1: L1.5g_cibr_cosine_long
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (8.0s)...
  Loading 4000/8780 (14.0s)...
  Loading 6000/8780 (19.7s)...
  Loading 8000/8780 (25.5s)...
Loaded 8780 trials (27.8s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.3M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 3703 epochs, 54 batches/epoch
Scheduler: cosine

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   3.7852   3.7852    0.873   1.00e-01   7.1s ***
    2   3.1224   3.1224    0.818   1.00e-01   4.8s ***
    3   2.9767   2.9767    0.759   1.00e-01   4.9s ***
    4   2.8093   2.8093    0.710   1.00e-01   4.9s ***
    5   2.6312   2.6312    0.667   1.00e-01   5.0s ***
    6   2.4694   2.4694    0.601   1.00e-01   5.0s ***
    7   2.3265   2.3265    0.560   1.00e-01   4.9s ***
    8   2.2127   2.2127    0.522   1.00e-01   4.9s ***
    9   2.1083   2.1083    0.494   1.00e-01   5.3s ***
   10   2.0112   2.0112    0.481   1.00e-01   4.9s ***
   11   1.9344   1.9344    0.462   1.00e-01   4.8s ***
   12   1.8608   1.8608    0.448   1.00e-01   4.9s ***
   13   1.7998   1.7998    0.427   1.00e-01   4.9s ***
   14   1.7536   1.7536    0.418   1.00e-01   4.9s ***
   15   1.7014   1.7014    0.406   1.00e-01   4.8s ***
   16   1.6541   1.6541    0.393   1.00e-01   4.9s ***
   17   1.6131   1.6131    0.380   1.00e-01   4.8s ***
   18   1.5747   1.5747    0.371   1.00e-01   4.9s ***
   19   1.5461   1.5461    0.367   1.00e-01   4.8s ***
   20   1.5151   1.5151    0.358   1.00e-01   4.9s ***
   21   1.4735   1.4735    0.354   1.00e-01   4.9s ***
   22   1.4466   1.4466    0.345   1.00e-01   4.9s ***
   23   1.4231   1.4231    0.338   1.00e-01   4.8s ***
   24   1.3955   1.3955    0.333   1.00e-01   4.9s ***
   25   1.3616   1.3616    0.325   1.00e-01   4.9s ***
   26   1.3481   1.3481    0.322   1.00e-01   4.8s ***
   27   1.3244   1.3244    0.320   1.00e-01   4.8s ***
   28   1.3005   1.3005    0.315   1.00e-01   4.9s ***
   29   1.2883   1.2883    0.313   1.00e-01   4.8s ***
   30   1.2617   1.2617    0.302   1.00e-01   4.9s ***
   31   1.2307   1.2307    0.299   1.00e-01   5.0s ***
   32   1.2258   1.2258    0.297   1.00e-01   5.0s ***
   33   1.2044   1.2044    0.291   1.00e-01   5.0s ***
   34   1.1804   1.1804    0.292   1.00e-01   4.9s
   35   1.1665   1.1665    0.283   1.00e-01   4.9s ***
