======================================================================
LEAD 1: L1.5h_cibr_cosine_20k
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (8.0s)...
  Loading 4000/8780 (14.1s)...
  Loading 6000/8780 (19.9s)...
  Loading 8000/8780 (25.7s)...
Loaded 8780 trials (28.0s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.3M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 370 epochs, 54 batches/epoch
Scheduler: cosine

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   3.7852   3.7852    0.873   1.00e-01   6.1s ***
    2   3.1224   3.1224    0.818   1.00e-01   4.9s ***
    3   2.9768   2.9768    0.759   1.00e-01   5.0s ***
    4   2.8094   2.8094    0.710   1.00e-01   5.0s ***
    5   2.6313   2.6313    0.667   1.00e-01   5.0s ***
    6   2.4696   2.4696    0.602   9.99e-02   5.1s ***
    7   2.3265   2.3265    0.560   9.99e-02   5.2s ***
    8   2.2125   2.2125    0.522   9.99e-02   5.4s ***
    9   2.1086   2.1086    0.494   9.99e-02   5.2s ***
   10   2.0111   2.0111    0.480   9.98e-02   5.2s ***
   11   1.9341   1.9341    0.460   9.98e-02   5.1s ***
   12   1.8642   1.8642    0.449   9.97e-02   5.0s ***
   13   1.8018   1.8018    0.427   9.97e-02   5.1s ***
   14   1.7559   1.7559    0.418   9.96e-02   5.2s ***
   15   1.7043   1.7043    0.406   9.96e-02   5.2s ***
   16   1.6524   1.6524    0.392   9.95e-02   5.0s ***
   17   1.6143   1.6143    0.383   9.95e-02   5.1s ***
   18   1.5812   1.5812    0.381   9.94e-02   5.3s ***
   19   1.5480   1.5480    0.363   9.94e-02   5.2s ***
   20   1.5166   1.5166    0.355   9.93e-02   5.1s ***
   21   1.4736   1.4736    0.352   9.92e-02   5.1s ***
   22   1.4464   1.4464    0.342   9.91e-02   5.0s ***
   23   1.4213   1.4213    0.335   9.90e-02   5.0s ***
   24   1.3915   1.3915    0.333   9.90e-02   5.1s ***
   25   1.3580   1.3580    0.325   9.89e-02   5.1s ***
   26   1.3458   1.3458    0.322   9.88e-02   5.0s ***
   27   1.3234   1.3234    0.319   9.87e-02   5.1s ***
   28   1.3034   1.3034    0.315   9.86e-02   5.1s ***
   29   1.2862   1.2862    0.314   9.85e-02   5.0s ***
