======================================================================
LEAD 1: L1.5i_cibr_layers3
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=3, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (7.9s)...
  Loading 4000/8780 (13.8s)...
  Loading 6000/8780 (19.6s)...
  Loading 8000/8780 (25.3s)...
Loaded 8780 trials (27.6s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 60.5M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: step

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   3.6089   3.6089    0.996   1.00e-01   5.0s ***
    2   3.1125   3.1125    0.828   1.00e-01   3.7s ***
    3   2.9406   2.9406    0.734   1.00e-01   3.7s ***
    4   2.7374   2.7374    0.676   1.00e-01   3.6s ***
    5   2.5491   2.5491    0.637   1.00e-01   3.7s ***
    6   2.3982   2.3982    0.593   1.00e-01   3.9s ***
    7   2.2664   2.2664    0.538   1.00e-01   3.7s ***
    8   2.1518   2.1518    0.502   1.00e-01   3.7s ***
    9   2.0560   2.0560    0.477   1.00e-01   3.7s ***
   10   1.9730   1.9730    0.456   1.00e-01   3.8s ***
   11   1.9095   1.9095    0.445   1.00e-01   3.8s ***
   12   1.8383   1.8383    0.426   1.00e-01   3.7s ***
   13   1.7741   1.7741    0.411   1.00e-01   3.7s ***
   14   1.7168   1.7168    0.401   1.00e-01   3.7s ***
   15   1.6737   1.6737    0.390   1.00e-01   3.7s ***
   16   1.6331   1.6331    0.378   1.00e-01   3.7s ***
   17   1.5933   1.5933    0.372   1.00e-01   3.9s ***
   18   1.5519   1.5519    0.365   1.00e-01   3.7s ***
   19   1.5205   1.5205    0.359   1.00e-01   3.7s ***
   20   1.4883   1.4883    0.345   1.00e-01   3.9s ***
   21   1.4571   1.4571    0.345   1.00e-01   3.9s
   22   1.4357   1.4357    0.338   1.00e-01   3.6s ***
   23   1.3980   1.3980    0.333   1.00e-01   3.8s ***
   24   1.3712   1.3712    0.325   1.00e-01   3.8s ***
   25   1.3519   1.3519    0.323   1.00e-01   3.7s ***
   26   1.3271   1.3271    0.317   1.00e-01   4.0s ***
   27   1.3084   1.3084    0.311   1.00e-01   3.8s ***
   28   1.2809   1.2809    0.311   1.00e-01   3.8s
   29   1.2658   1.2658    0.307   1.00e-01   3.7s ***
   30   1.2398   1.2398    0.299   1.00e-01   3.7s ***
   31   1.2272   1.2272    0.296   1.00e-01   3.8s ***
   32   1.2066   1.2066    0.295   1.00e-01   3.8s ***
   33   1.1883   1.1883    0.286   1.00e-01   3.7s ***
   34   1.1691   1.1691    0.291   1.00e-01   3.8s
   35   1.1504   1.1504    0.285   1.00e-01   3.8s ***
   36   1.1320   1.1320    0.283   1.00e-01   3.8s ***
   37   1.1172   1.1172    0.275   1.00e-01   3.8s ***
   38   1.1035   1.1035    0.282   1.00e-01   3.9s
   39   1.0893   1.0893    0.276   1.00e-01   4.0s
   40   1.0694   1.0694    0.272   1.00e-01   3.7s ***
   41   1.0595   1.0595    0.272   1.00e-01   3.8s ***
   42   1.0513   1.0513    0.264   1.00e-01   3.7s ***
   43   1.0339   1.0339    0.268   1.00e-01   3.9s
   44   1.0194   1.0194    0.266   1.00e-01   3.7s
   45   1.0048   1.0048    0.264   1.00e-01   3.8s ***
   46   0.9899   0.9899    0.262   1.00e-01   3.6s ***
   47   0.9785   0.9785    0.260   1.00e-01   3.8s ***
   48   0.9672   0.9672    0.258   1.00e-01   3.7s ***
   49   0.9515   0.9515    0.259   1.00e-01   3.7s
   50   0.9396   0.9396    0.255   1.00e-01   3.7s ***
   51   0.9304   0.9304    0.255   1.00e-01   3.8s ***
   52   0.9154   0.9154    0.251   1.00e-01   3.8s ***
   53   0.9100   0.9100    0.253   1.00e-01   3.7s
   54   0.8979   0.8979    0.252   1.00e-01   3.8s
   55   0.8890   0.8890    0.249   1.00e-01   3.9s ***
   56   0.8740   0.8740    0.250   1.00e-01   3.7s
   57   0.8604   0.8604    0.247   1.00e-01   3.9s ***
   58   0.8566   0.8566    0.248   1.00e-01   3.9s
   59   0.8459   0.8459    0.244   1.00e-01   3.9s ***
   60   0.8325   0.8325    0.246   1.00e-01   3.6s
   61   0.8251   0.8251    0.242   1.00e-01   3.7s ***
   62   0.8157   0.8157    0.243   1.00e-01   3.7s
   63   0.8065   0.8065    0.239   1.00e-01   3.7s ***
   64   0.7887   0.7887    0.237   1.00e-01   3.8s ***
   65   0.7856   0.7856    0.235   1.00e-01   3.8s ***
   66   0.7697   0.7697    0.237   1.00e-01   3.8s
   67   0.7629   0.7629    0.234   1.00e-01   3.7s ***
   68   0.7547   0.7547    0.236   1.00e-01   4.0s
   69   0.7495   0.7495    0.235   1.00e-01   3.7s
   70   0.7421   0.7421    0.232   1.00e-01   3.7s ***
   71   0.7258   0.7258    0.233   1.00e-01   3.8s
   72   0.7156   0.7156    0.232   1.00e-01   3.7s ***
   73   0.7132   0.7132    0.232   1.00e-01   3.7s
   74   0.7001   0.7001    0.228   1.00e-02   3.8s ***
   75   0.6623   0.6623    0.221   1.00e-02   3.7s ***
   76   0.6437   0.6437    0.221   1.00e-02   3.7s ***
   77   0.6458   0.6458    0.219   1.00e-02   3.8s ***
   78   0.6370   0.6370    0.220   1.00e-02   3.8s
   79   0.6268   0.6268    0.218   1.00e-02   3.7s ***
   80   0.6224   0.6224    0.218   1.00e-02   3.8s
   81   0.6202   0.6202    0.219   1.00e-02   3.8s
   82   0.6244   0.6244    0.219   1.00e-02   3.7s
   83   0.6150   0.6150    0.218   1.00e-02   3.7s
   84   0.6206   0.6206    0.218   1.00e-02   3.8s ***
   85   0.6213   0.6213    0.219   1.00e-02   3.7s
   86   0.6135   0.6135    0.218   1.00e-02   3.7s
   87   0.6033   0.6033    0.217   1.00e-02   3.8s ***
   88   0.6033   0.6033    0.218   1.00e-02   3.6s
   89   0.6039   0.6039    0.218   1.00e-02   3.5s
   90   0.5966   0.5966    0.218   1.00e-02   3.5s
   91   0.5982   0.5982    0.219   1.00e-02   3.7s
   92   0.5987   0.5987    0.217   1.00e-02   3.7s
   93   0.5921   0.5921    0.217   1.00e-02   3.8s ***
   94   0.5923   0.5923    0.217   1.00e-02   3.7s
   95   0.5937   0.5937    0.217   1.00e-02   3.7s
   96   0.5927   0.5927    0.217   1.00e-02   3.8s
