======================================================================
LEAD 1: L1.6_cibr_suptcon
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  SupTCon: weight=0.1, temp=0.1
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (8.0s)...
  Loading 4000/8780 (14.1s)...
  Loading 6000/8780 (19.9s)...
  Loading 8000/8780 (25.7s)...
Loaded 8780 trials (28.1s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.3M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: step, warmup=5

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   7.2890   6.4666    1.000   2.08e-02   7.8s sc=8.2235 ***
    2  10.5511   9.6243    0.884   4.06e-02   6.6s sc=9.2680 ***
    3   4.2324   3.4192    0.862   6.04e-02   6.7s sc=8.1323 ***
    4   3.9597   3.1836    0.819   8.02e-02   6.7s sc=7.7610 ***
    5   3.8545   3.0783    0.809   1.00e-01   6.7s sc=7.7622 ***
    6   3.7442   2.9651    0.787   1.00e-01   6.7s sc=7.7913 ***
    7   3.5968   2.8145    0.718   1.00e-01   6.7s sc=7.8233 ***
    8   3.4340   2.6514    0.640   1.00e-01   6.6s sc=7.8256 ***
    9   3.2817   2.4989    0.593   1.00e-01   6.8s sc=7.8284 ***
   10   3.1518   2.3683    0.561   1.00e-01   6.7s sc=7.8350 ***
   11   3.0234   2.2426    0.525   1.00e-01   6.8s sc=7.8082 ***
   12   2.9235   2.1421    0.506   1.00e-01   6.7s sc=7.8140 ***
   13   2.8261   2.0459    0.488   1.00e-01   6.7s sc=7.8015 ***
   14   2.7593   1.9786    0.464   1.00e-01   6.7s sc=7.8072 ***
   15   2.6819   1.9028    0.445   1.00e-01   6.8s sc=7.7910 ***
   16   2.6153   1.8349    0.439   1.00e-01   6.9s sc=7.8036 ***
   17   2.5574   1.7786    0.420   1.00e-01   6.6s sc=7.7877 ***
   18   2.4973   1.7194    0.406   1.00e-01   6.8s sc=7.7796 ***
   19   2.4549   1.6771    0.397   1.00e-01   6.7s sc=7.7783 ***
   20   2.4116   1.6340    0.389   1.00e-01   6.7s sc=7.7764 ***
   21   2.3769   1.5988    0.375   1.00e-01   7.0s sc=7.7811 ***
   22   2.3282   1.5514    0.368   1.00e-01   6.7s sc=7.7674 ***
   23   2.2948   1.5191    0.357   1.00e-01   6.7s sc=7.7569 ***
   24   2.2590   1.4847    0.348   1.00e-01   6.7s sc=7.7424 ***
   25   2.2354   1.4596    0.346   1.00e-01   6.7s sc=7.7583 ***
   26   2.2078   1.4321    0.335   1.00e-01   6.7s sc=7.7565 ***
   27   2.1736   1.3994    0.329   1.00e-01   6.8s sc=7.7416 ***
   28   2.1471   1.3729    0.324   1.00e-01   6.6s sc=7.7420 ***
   29   2.1186   1.3459    0.323   1.00e-01   6.6s sc=7.7273 ***
   30   2.1068   1.3332    0.316   1.00e-01   6.7s sc=7.7361 ***
   31   2.0801   1.3064    0.307   1.00e-01   6.6s sc=7.7370 ***
   32   2.0587   1.2859    0.309   1.00e-01   6.8s sc=7.7278
   33   2.0356   1.2634    0.307   1.00e-01   6.7s sc=7.7220
   34   2.0137   1.2412    0.302   1.00e-01   6.8s sc=7.7249 ***
   35   2.0024   1.2292    0.304   1.00e-01   6.7s sc=7.7315
   36   1.9790   1.2061    0.298   1.00e-01   6.8s sc=7.7290 ***
   37   1.9692   1.1970    0.293   1.00e-01   6.8s sc=7.7218 ***
   38   1.9429   1.1712    0.291   1.00e-01   6.7s sc=7.7177 ***
   39   1.9325   1.1611    0.286   1.00e-01   6.6s sc=7.7134 ***
   40   1.9098   1.1380    0.288   1.00e-01   6.7s sc=7.7173
   41   1.8934   1.1226    0.283   1.00e-01   6.6s sc=7.7078 ***
   42   1.8773   1.1069    0.284   1.00e-01   6.6s sc=7.7044
   43   1.8590   1.0882    0.277   1.00e-01   6.6s sc=7.7078 ***
   44   1.8479   1.0780    0.276   1.00e-01   6.7s sc=7.6991 ***
   45   1.8375   1.0674    0.276   1.00e-01   6.8s sc=7.7008
   46   1.8243   1.0541    0.269   1.00e-01   6.8s sc=7.7026 ***
   47   1.8007   1.0313    0.269   1.00e-01   6.9s sc=7.6937
   48   1.7926   1.0229    0.263   1.00e-01   6.7s sc=7.6975 ***
   49   1.7728   1.0034    0.261   1.00e-01   6.7s sc=7.6940 ***
   50   1.7694   1.0001    0.263   1.00e-01   6.7s sc=7.6924
   51   1.7629   0.9940    0.262   1.00e-01   6.7s sc=7.6893
   52   1.7351   0.9663    0.259   1.00e-01   6.9s sc=7.6883 ***
   53   1.7330   0.9644    0.254   1.00e-01   6.7s sc=7.6863 ***
   54   1.7134   0.9450    0.254   1.00e-01   6.9s sc=7.6837
   55   1.7092   0.9404    0.250   1.00e-01   6.8s sc=7.6877 ***
   56   1.6901   0.9216    0.247   1.00e-01   6.6s sc=7.6849 ***
   57   1.6853   0.9172    0.255   1.00e-01   6.8s sc=7.6814
   58   1.6743   0.9065    0.246   1.00e-01   6.8s sc=7.6775 ***
   59   1.6632   0.8959    0.245   1.00e-01   6.8s sc=7.6730 ***
   60   1.6540   0.8867    0.244   1.00e-01   7.0s sc=7.6738 ***
   61   1.6414   0.8742    0.246   1.00e-01   6.7s sc=7.6720
   62   1.6301   0.8629    0.241   1.00e-01   6.8s sc=7.6719 ***
   63   1.6166   0.8496    0.241   1.00e-01   6.9s sc=7.6704 ***
   64   1.6138   0.8472    0.244   1.00e-01   6.7s sc=7.6663
   65   1.6031   0.8367    0.240   1.00e-01   6.8s sc=7.6638 ***
   66   1.6023   0.8355    0.239   1.00e-01   6.7s sc=7.6688 ***
   67   1.5879   0.8215    0.240   1.00e-01   6.6s sc=7.6645
   68   1.5826   0.8158    0.236   1.00e-01   6.5s sc=7.6677 ***
   69   1.5645   0.7981    0.239   1.00e-01   6.7s sc=7.6636
   70   1.5687   0.8021    0.236   1.00e-01   6.7s sc=7.6664 ***
   71   1.5506   0.7843    0.233   1.00e-01   6.8s sc=7.6633 ***
   72   1.5307   0.7646    0.230   1.00e-01   6.7s sc=7.6611 ***
   73   1.5314   0.7652    0.231   1.00e-01   6.7s sc=7.6619
   74   1.5315   0.7652    0.232   1.00e-01   6.7s sc=7.6629
   75   1.5104   0.7439    0.229   1.00e-01   6.7s sc=7.6648 ***
   76   1.5086   0.7425    0.231   1.00e-01   6.9s sc=7.6612
   77   1.5060   0.7405    0.230   1.00e-01   6.8s sc=7.6545
   78   1.4970   0.7316    0.232   1.00e-01   6.9s sc=7.6546
   79   1.4858   0.7203    0.228   1.00e-02   6.8s sc=7.6555 ***
   80   1.4330   0.6683    0.218   1.00e-02   6.8s sc=7.6477 ***
   81   1.4039   0.6396    0.218   1.00e-02   6.6s sc=7.6430 ***
   82   1.4028   0.6387    0.218   1.00e-02   6.7s sc=7.6412
   83   1.3947   0.6310    0.217   1.00e-02   6.7s sc=7.6368 ***
   84   1.3902   0.6265    0.217   1.00e-02   6.7s sc=7.6373 ***
   85   1.3856   0.6223    0.215   1.00e-02   6.7s sc=7.6334 ***
