======================================================================
LEAD 1: L1.7_seed123
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Split: within-day
  Seed: 123
======================================================================
  Loading 2000/8780 (7.9s)...
  Loading 4000/8780 (13.9s)...
  Loading 6000/8780 (19.6s)...
  Loading 8000/8780 (25.5s)...
Loaded 8780 trials (27.8s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.3M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: step, warmup=5

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   6.3040   6.3040    1.000   2.08e-02   6.1s ***
    2   8.1552   8.1552    0.876   4.06e-02   5.0s ***
    3   3.5114   3.5114    0.834   6.04e-02   5.0s ***
    4   3.1526   3.1526    0.788   8.02e-02   5.0s ***
    5   3.0282   3.0282    0.738   1.00e-01   5.0s ***
    6   2.8955   2.8955    0.722   1.00e-01   5.1s ***
    7   2.7352   2.7352    0.678   1.00e-01   5.1s ***
    8   2.5670   2.5670    0.633   1.00e-01   5.0s ***
    9   2.4087   2.4087    0.575   1.00e-01   5.2s ***
   10   2.2736   2.2736    0.545   1.00e-01   5.0s ***
   11   2.1578   2.1578    0.522   1.00e-01   5.1s ***
   12   2.0591   2.0591    0.504   1.00e-01   5.1s ***
   13   1.9801   1.9801    0.488   1.00e-01   5.2s ***
   14   1.9076   1.9076    0.461   1.00e-01   5.0s ***
   15   1.8400   1.8400    0.459   1.00e-01   5.0s ***
   16   1.7797   1.7797    0.433   1.00e-01   5.2s ***
   17   1.7284   1.7284    0.428   1.00e-01   5.2s ***
   18   1.6888   1.6888    0.412   1.00e-01   5.1s ***
   19   1.6553   1.6553    0.408   1.00e-01   5.3s ***
   20   1.6114   1.6114    0.398   1.00e-01   5.1s ***
   21   1.5765   1.5765    0.389   1.00e-01   5.1s ***
   22   1.5418   1.5418    0.383   1.00e-01   5.0s ***
   23   1.5105   1.5105    0.370   1.00e-01   5.0s ***
   24   1.4882   1.4882    0.368   1.00e-01   5.2s ***
   25   1.4509   1.4509    0.357   1.00e-01   5.0s ***
   26   1.4308   1.4308    0.354   1.00e-01   5.1s ***
   27   1.4020   1.4020    0.347   1.00e-01   5.0s ***
   28   1.3778   1.3778    0.340   1.00e-01   5.0s ***
   29   1.3520   1.3520    0.339   1.00e-01   5.0s ***
   30   1.3291   1.3291    0.335   1.00e-01   5.0s ***
   31   1.3118   1.3118    0.334   1.00e-01   5.0s ***
   32   1.2882   1.2882    0.325   1.00e-01   5.0s ***
   33   1.2705   1.2705    0.321   1.00e-01   5.0s ***
   34   1.2555   1.2555    0.317   1.00e-01   5.2s ***
   35   1.2344   1.2344    0.320   1.00e-01   5.1s
   36   1.2227   1.2227    0.306   1.00e-01   5.0s ***
   37   1.1893   1.1893    0.301   1.00e-01   5.2s ***
   38   1.1781   1.1781    0.306   1.00e-01   5.1s
   39   1.1663   1.1663    0.301   1.00e-01   5.0s ***
   40   1.1506   1.1506    0.294   1.00e-01   5.0s ***
   41   1.1340   1.1340    0.295   1.00e-01   5.1s
   42   1.1200   1.1200    0.294   1.00e-01   5.0s ***
   43   1.0991   1.0991    0.288   1.00e-01   5.1s ***
   44   1.0965   1.0965    0.288   1.00e-01   5.2s
   45   1.0763   1.0763    0.286   1.00e-01   5.2s ***
   46   1.0664   1.0664    0.285   1.00e-01   5.0s ***
   47   1.0551   1.0551    0.282   1.00e-01   5.1s ***
   48   1.0394   1.0394    0.277   1.00e-01   5.1s ***
   49   1.0211   1.0211    0.274   1.00e-01   5.1s ***
   50   1.0123   1.0123    0.277   1.00e-01   5.0s
   51   0.9960   0.9960    0.271   1.00e-01   5.1s ***
   52   0.9849   0.9849    0.272   1.00e-01   5.1s
