======================================================================
LEAD 1: L1.7b_seed123
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Split: within-day
  Seed: 123
======================================================================
  Loading 2000/8780 (8.0s)...
  Loading 4000/8780 (14.0s)...
  Loading 6000/8780 (19.8s)...
  Loading 8000/8780 (25.6s)...
Loaded 8780 trials (27.8s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.3M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: step, warmup=5

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   6.3017   6.3017    1.000   2.08e-02   6.3s ***
    2   8.2181   8.2181    0.875   4.06e-02   4.9s ***
    3   3.2798   3.2798    0.826   6.04e-02   5.0s ***
    4   3.1457   3.1457    0.770   8.02e-02   5.1s ***
    5   3.0332   3.0332    0.716   1.00e-01   5.1s ***
    6   2.8751   2.8751    0.692   1.00e-01   5.2s ***
    7   2.6939   2.6939    0.649   1.00e-01   5.4s ***
    8   2.5397   2.5397    0.615   1.00e-01   5.2s ***
    9   2.4005   2.4005    0.573   1.00e-01   5.1s ***
   10   2.2728   2.2728    0.533   1.00e-01   5.2s ***
   11   2.1581   2.1581    0.506   1.00e-01   5.2s ***
   12   2.0661   2.0661    0.495   1.00e-01   5.2s ***
   13   1.9817   1.9817    0.467   1.00e-01   5.2s ***
   14   1.9144   1.9144    0.454   1.00e-01   5.5s ***
   15   1.8526   1.8526    0.436   1.00e-01   5.2s ***
   16   1.7835   1.7835    0.425   1.00e-01   5.2s ***
   17   1.7455   1.7455    0.415   1.00e-01   5.0s ***
