Device: cuda:0

[1] Loading data...
  Loading 2000/8780 (8.2s)...
  Loading 4000/8780 (14.5s)...
  Loading 6000/8780 (20.6s)...
  Loading 8000/8780 (26.8s)...
Loaded 8780 trials (29.3s) — raw 256D, avg 315 frames
  Trials: 6942 train, 878 val, 960 test

[2] Training 3-gram phoneme LM...
  LM trained: order=3, 6942 sequences, 583326 n-grams, vocab=40

[3] Loading 1 model(s)...
  Loaded brain2speech/results/lead1/L1.3_cibr_withinday_best.pt: BiGRU h=1024 k=32 (98.3M), val=20.4%, test=20.9%

[4] Running inference...
  val: 878 trials
  test: 960 trials

===========================================================================
BEAM SEARCH DECODING — L1.3_cibr_withinday_best
===========================================================================

  VAL: Greedy PER = 0.2038 (20.4%) [0.0s]

    Beam  Alpha  Beta      PER      %   Improv    Time
  ────── ────── ───── ──────── ────── ──────── ───────
       5   0.00  0.00   0.2012 20.1%    +1.3%   16.8s ***
       5   0.10  0.00   0.1988 19.9%    +2.4%   34.9s ***
       5   0.10  0.30   0.1996 20.0%    +2.0%   34.2s
       5   0.10  0.50   0.2013 20.1%    +1.2%   34.5s
       5   0.20  0.00   0.1989 19.9%    +2.4%   34.3s
       5   0.20  0.30   0.1982 19.8%    +2.8%   34.6s ***
       5   0.20  0.50   0.1985 19.9%    +2.6%   34.8s
       5   0.30  0.00   0.1985 19.8%    +2.6%   35.1s
       5   0.30  0.30   0.1982 19.8%    +2.7%   34.5s
       5   0.30  0.50   0.1979 19.8%    +2.9%   34.2s ***
       5   0.50  0.00   0.2023 20.2%    +0.8%   34.3s
       5   0.50  0.30   0.2001 20.0%    +1.8%   34.2s
       5   0.50  0.50   0.2000 20.0%    +1.9%   34.3s
       5   0.70  0.00   0.2069 20.7%    -1.5%   34.2s
       5   0.70  0.30   0.2048 20.5%    -0.5%   33.9s
       5   0.70  0.50   0.2028 20.3%    +0.5%   34.0s
       5   1.00  0.00   0.2161 21.6%    -6.0%   34.0s
       5   1.00  0.30   0.2120 21.2%    -4.0%   34.1s
       5   1.00  0.50   0.2103 21.0%    -3.2%   34.1s
       5   1.50  0.00   0.2392 23.9%   -17.4%   35.5s
       5   1.50  0.30   0.2345 23.5%   -15.1%   34.6s
       5   1.50  0.50   0.2315 23.1%   -13.6%   35.4s
       5   2.00  0.00   0.2644 26.4%   -29.8%   34.2s
       5   2.00  0.30   0.2583 25.8%   -26.8%   33.8s
       5   2.00  0.50   0.2552 25.5%   -25.2%   34.0s
      10   0.00  0.00   0.2009 20.1%    +1.4%   33.2s
      10   0.10  0.00   0.1987 19.9%    +2.5%   68.2s
      10   0.10  0.30   0.1994 19.9%    +2.1%   68.2s
      10   0.10  0.50   0.2013 20.1%    +1.2%   68.5s
      10   0.20  0.00   0.1976 19.8%    +3.0%   69.0s ***
      10   0.20  0.30   0.1980 19.8%    +2.9%   69.0s
      10   0.20  0.50   0.1982 19.8%    +2.7%   69.0s
      10   0.30  0.00   0.1985 19.8%    +2.6%   69.1s
      10   0.30  0.30   0.1975 19.7%    +3.1%   70.8s ***
      10   0.30  0.50   0.1972 19.7%    +3.2%   69.6s ***
      10   0.50  0.00   0.2014 20.1%    +1.2%   69.2s
      10   0.50  0.30   0.2004 20.0%    +1.7%   68.7s
      10   0.50  0.50   0.1994 19.9%    +2.1%   69.3s
      10   0.70  0.00   0.2061 20.6%    -1.1%   68.1s
      10   0.70  0.30   0.2039 20.4%    -0.1%   67.4s
      10   0.70  0.50   0.2027 20.3%    +0.5%   67.4s
      10   1.00  0.00   0.2139 21.4%    -5.0%   67.1s
      10   1.00  0.30   0.2108 21.1%    -3.5%   67.5s
      10   1.00  0.50   0.2089 20.9%    -2.5%   66.7s
      10   1.50  0.00   0.2352 23.5%   -15.4%   66.5s
      10   1.50  0.30   0.2301 23.0%   -12.9%   66.8s
      10   1.50  0.50   0.2280 22.8%   -11.9%   66.6s
      10   2.00  0.00   0.2600 26.0%   -27.6%   67.2s
      10   2.00  0.30   0.2542 25.4%   -24.8%   66.4s
      10   2.00  0.50   0.2520 25.2%   -23.6%   66.6s
      25   0.00  0.00   0.2007 20.1%    +1.5%   84.8s
      25   0.10  0.00   0.1987 19.9%    +2.5%  171.6s
      25   0.10  0.30   0.1993 19.9%    +2.2%  171.7s
      25   0.10  0.50   0.2012 20.1%    +1.3%  172.1s
