======================================================================
LEAD 1: L4_cffan_k14_s42
  Preset: cffan
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=14 (280ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: adam lr=0.02 eps=0.1
  Noise: white=1.0, offset=0.2
  Batch: 64, Dropout: 0.4
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (7.8s)...
  Loading 4000/8780 (13.7s)...
  Loading 6000/8780 (19.4s)...
  Loading 8000/8780 (25.1s)...
Loaded 8780 trials (27.4s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 93.5M params
  Stacked input: 3584D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 925 epochs, 108 batches/epoch
Scheduler: linear

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   3.4133   3.4133    1.000   2.00e-02   8.4s ***
    2   3.2150   3.2150    1.000   2.00e-02   6.6s
    3   3.1880   3.1880    0.987   1.99e-02   6.4s ***
    4   3.1541   3.1541    0.909   1.99e-02   6.5s ***
    5   3.1147   3.1147    0.832   1.99e-02   6.4s ***
    6   3.0555   3.0555    0.789   1.99e-02   6.3s ***
    7   3.0011   3.0011    0.774   1.98e-02   6.5s ***
    8   2.9504   2.9504    0.784   1.98e-02   6.6s
    9   2.8954   2.8954    0.759   1.98e-02   6.5s ***
   10   2.8399   2.8399    0.751   1.98e-02   6.4s ***
   11   2.7811   2.7811    0.722   1.98e-02   6.5s ***
   12   2.7220   2.7220    0.737   1.97e-02   6.4s
   13   2.6613   2.6613    0.696   1.97e-02   6.5s ***
   14   2.6020   2.6020    0.694   1.97e-02   6.5s ***
   15   2.5485   2.5485    0.679   1.97e-02   6.6s ***
   16   2.4937   2.4937    0.641   1.97e-02   6.5s ***
   17   2.4456   2.4456    0.632   1.96e-02   6.4s ***
   18   2.3999   2.3999    0.609   1.96e-02   6.4s ***
   19   2.3480   2.3480    0.593   1.96e-02   6.4s ***
   20   2.3002   2.3002    0.556   1.96e-02   6.4s ***
   21   2.2517   2.2517    0.554   1.95e-02   6.5s ***
   22   2.2068   2.2068    0.547   1.95e-02   6.4s ***
   23   2.1615   2.1615    0.537   1.95e-02   6.5s ***
   24   2.1271   2.1271    0.523   1.95e-02   6.4s ***
   25   2.0893   2.0893    0.518   1.95e-02   6.4s ***
   26   2.0604   2.0604    0.501   1.94e-02   6.4s ***
   27   2.0255   2.0255    0.504   1.94e-02   6.6s
   28   1.9977   1.9977    0.486   1.94e-02   6.6s ***
   29   1.9670   1.9670    0.496   1.94e-02   6.4s
   30   1.9392   1.9392    0.477   1.94e-02   6.4s ***
   31   1.9099   1.9099    0.472   1.93e-02   6.3s ***
   32   1.8820   1.8820    0.471   1.93e-02   6.4s ***
   33   1.8590   1.8590    0.458   1.93e-02   6.3s ***
   34   1.8352   1.8352    0.454   1.93e-02   6.4s ***
   35   1.8141   1.8141    0.445   1.92e-02   6.4s ***
   36   1.7944   1.7944    0.437   1.92e-02   6.3s ***
   37   1.7730   1.7730    0.428   1.92e-02   6.4s ***
   38   1.7534   1.7534    0.426   1.92e-02   6.3s ***
   39   1.7338   1.7338    0.428   1.92e-02   6.4s
   40   1.7143   1.7143    0.418   1.91e-02   6.4s ***
   41   1.7009   1.7009    0.410   1.91e-02   6.6s ***
   42   1.6854   1.6854    0.410   1.91e-02   6.4s ***
   43   1.6677   1.6677    0.403   1.91e-02   6.4s ***
   44   1.6508   1.6508    0.403   1.90e-02   6.5s ***
   45   1.6439   1.6439    0.395   1.90e-02   6.5s ***
   46   1.6301   1.6301    0.396   1.90e-02   6.4s
   47   1.6115   1.6115    0.388   1.90e-02   6.4s ***
   48   1.6038   1.6038    0.386   1.90e-02   6.4s ***
