======================================================================
LEAD 1: L4_cffan_s45
  Preset: cffan
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: adam lr=0.02 eps=0.1
  Noise: white=1.0, offset=0.2
  Batch: 64, Dropout: 0.4
  Split: within-day
  Seed: 45
======================================================================
  Loading 2000/8780 (8.3s)...
  Loading 4000/8780 (14.5s)...
  Loading 6000/8780 (20.5s)...
  Loading 8000/8780 (26.3s)...
Loaded 8780 trials (28.9s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.3M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 925 epochs, 108 batches/epoch
Scheduler: linear

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   3.3855   3.3855    1.000   2.00e-02   8.0s ***
    2   3.2041   3.2041    0.997   2.00e-02   6.7s ***
    3   3.1679   3.1679    0.974   1.99e-02   6.7s ***
    4   3.1289   3.1289    0.896   1.99e-02   6.6s ***
    5   3.0796   3.0796    0.811   1.99e-02   6.5s ***
    6   3.0198   3.0198    0.780   1.99e-02   6.4s ***
    7   2.9613   2.9613    0.769   1.98e-02   6.5s ***
    8   2.8919   2.8919    0.749   1.98e-02   6.7s ***
    9   2.8291   2.8291    0.743   1.98e-02   6.7s ***
   10   2.7582   2.7582    0.720   1.98e-02   6.9s ***
   11   2.6904   2.6904    0.696   1.98e-02   6.8s ***
   12   2.6209   2.6209    0.684   1.97e-02   6.8s ***
   13   2.5574   2.5574    0.663   1.97e-02   6.8s ***
   14   2.4984   2.4984    0.647   1.97e-02   6.8s ***
   15   2.4394   2.4394    0.626   1.97e-02   6.8s ***
   16   2.3906   2.3906    0.596   1.97e-02   6.7s ***
   17   2.3356   2.3356    0.581   1.96e-02   6.8s ***
   18   2.2965   2.2965    0.565   1.96e-02   6.8s ***
   19   2.2441   2.2441    0.539   1.96e-02   6.9s ***
   20   2.1988   2.1988    0.526   1.96e-02   6.8s ***
   21   2.1570   2.1570    0.515   1.95e-02   6.7s ***
   22   2.1148   2.1148    0.507   1.95e-02   6.8s ***
   23   2.0772   2.0772    0.490   1.95e-02   6.8s ***
   24   2.0315   2.0315    0.481   1.95e-02   6.9s ***
   25   1.9958   1.9958    0.479   1.95e-02   6.9s ***
   26   1.9632   1.9632    0.471   1.94e-02   6.9s ***
   27   1.9332   1.9332    0.462   1.94e-02   7.0s ***
   28   1.9004   1.9004    0.463   1.94e-02   6.8s
   29   1.8777   1.8777    0.450   1.94e-02   6.7s ***
   30   1.8456   1.8456    0.442   1.94e-02   6.6s ***
   31   1.8209   1.8209    0.431   1.93e-02   6.8s ***
   32   1.7947   1.7947    0.427   1.93e-02   6.8s ***
   33   1.7743   1.7743    0.426   1.93e-02   6.9s ***
   34   1.7586   1.7586    0.420   1.93e-02   6.8s ***
   35   1.7340   1.7340    0.419   1.92e-02   6.7s ***
   36   1.7211   1.7211    0.408   1.92e-02   6.8s ***
   37   1.7038   1.7038    0.408   1.92e-02   6.8s
   38   1.6825   1.6825    0.403   1.92e-02   6.9s ***
   39   1.6663   1.6663    0.397   1.92e-02   6.6s ***
   40   1.6508   1.6508    0.390   1.91e-02   6.6s ***
   41   1.6339   1.6339    0.389   1.91e-02   6.5s ***
   42   1.6162   1.6162    0.391   1.91e-02   6.7s
   43   1.6006   1.6006    0.383   1.91e-02   6.6s ***
   44   1.5924   1.5924    0.377   1.90e-02   6.7s ***
   45   1.5795   1.5795    0.375   1.90e-02   6.8s ***
   46   1.5650   1.5650    0.372   1.90e-02   6.7s ***
   47   1.5462   1.5462    0.373   1.90e-02   6.5s
   48   1.5332   1.5332    0.371   1.90e-02   6.5s ***
   49   1.5240   1.5240    0.368   1.89e-02   6.6s ***
   50   1.5066   1.5066    0.362   1.89e-02   6.5s ***
   51   1.4964   1.4964    0.354   1.89e-02   6.4s ***
   52   1.4873   1.4873    0.354   1.89e-02   6.4s
   53   1.4746   1.4746    0.350   1.89e-02   6.6s ***
   54   1.4643   1.4643    0.346   1.88e-02   6.5s ***
   55   1.4505   1.4505    0.350   1.88e-02   6.4s
   56   1.4411   1.4411    0.347   1.88e-02   6.6s
   57   1.4290   1.4290    0.346   1.88e-02   6.5s ***
   58   1.4185   1.4185    0.340   1.87e-02   6.5s ***
   59   1.4075   1.4075    0.337   1.87e-02   6.4s ***
   60   1.4042   1.4042    0.337   1.87e-02   6.7s ***
   61   1.3902   1.3902    0.333   1.87e-02   6.5s ***
   62   1.3760   1.3760    0.329   1.87e-02   6.5s ***
   63   1.3788   1.3788    0.336   1.86e-02   6.4s
   64   1.3610   1.3610    0.324   1.86e-02   6.5s ***
   65   1.3503   1.3503    0.325   1.86e-02   6.5s
   66   1.3416   1.3416    0.320   1.86e-02   6.7s ***
   67   1.3322   1.3322    0.321   1.86e-02   6.6s
   68   1.3275   1.3275    0.320   1.85e-02   6.6s
   69   1.3256   1.3256    0.315   1.85e-02   6.6s ***
   70   1.3060   1.3060    0.314   1.85e-02   6.6s ***
   71   1.3005   1.3005    0.315   1.85e-02   6.5s
   72   1.2982   1.2982    0.312   1.84e-02   6.5s ***
   73   1.2916   1.2916    0.307   1.84e-02   6.5s ***
   74   1.2792   1.2792    0.309   1.84e-02   6.6s
   75   1.2762   1.2762    0.302   1.84e-02   6.6s ***
   76   1.2636   1.2636    0.306   1.84e-02   6.6s
   77   1.2618   1.2618    0.301   1.83e-02   6.7s ***
   78   1.2517   1.2517    0.298   1.83e-02   6.7s ***
   79   1.2467   1.2467    0.300   1.83e-02   6.5s
   80   1.2392   1.2392    0.299   1.83e-02   6.5s
   81   1.2237   1.2237    0.294   1.83e-02   6.5s ***
   82   1.2219   1.2219    0.296   1.82e-02   6.7s
   83   1.2121   1.2121    0.290   1.82e-02   6.6s ***
   84   1.2053   1.2053    0.293   1.82e-02   6.6s
   85   1.2000   1.2000    0.290   1.82e-02   6.5s ***
   86   1.1962   1.1962    0.287   1.81e-02   6.8s ***
   87   1.1885   1.1885    0.285   1.81e-02   6.7s ***
   88   1.1820   1.1820    0.286   1.81e-02   7.0s
   89   1.1728   1.1728    0.283   1.81e-02   6.6s ***
   90   1.1633   1.1633    0.281   1.81e-02   6.6s ***
   91   1.1540   1.1540    0.280   1.80e-02   6.6s ***
   92   1.1494   1.1494    0.278   1.80e-02   6.5s ***
   93   1.1447   1.1447    0.281   1.80e-02   6.6s
   94   1.1416   1.1416    0.278   1.80e-02   6.6s ***
   95   1.1371   1.1371    0.277   1.79e-02   6.5s ***
   96   1.1265   1.1265    0.277   1.79e-02   6.5s
   97   1.1232   1.1232    0.270   1.79e-02   6.7s ***
   98   1.1120   1.1120    0.273   1.79e-02   6.8s
   99   1.1136   1.1136    0.271   1.79e-02   6.7s
  100   1.1036   1.1036    0.270   1.78e-02   6.7s ***
  101   1.0926   1.0926    0.269   1.78e-02   6.9s ***
  102   1.0908   1.0908    0.266   1.78e-02   6.9s ***
  103   1.0945   1.0945    0.268   1.78e-02   7.0s
  104   1.0783   1.0783    0.263   1.78e-02   6.6s ***
  105   1.0742   1.0742    0.265   1.77e-02   6.8s
  106   1.0677   1.0677    0.267   1.77e-02   6.8s
  107   1.0733   1.0733    0.264   1.77e-02   6.7s
  108   1.0584   1.0584    0.267   1.77e-02   6.8s
  109   1.0582   1.0582    0.263   1.76e-02   6.6s
  110   1.0432   1.0432    0.258   1.76e-02   6.7s ***
  111   1.0314   1.0314    0.262   1.76e-02   6.7s
  112   1.0395   1.0395    0.261   1.76e-02   6.7s
  113   1.0287   1.0287    0.260   1.76e-02   6.7s
  114   1.0302   1.0302    0.258   1.75e-02   6.6s
  115   1.0239   1.0239    0.259   1.75e-02   6.7s
  116   1.0160   1.0160    0.261   1.75e-02   6.7s
  117   1.0186   1.0186    0.258   1.75e-02   6.8s
  118   1.0044   1.0044    0.257   1.75e-02   6.7s ***
  119   1.0067   1.0067    0.258   1.74e-02   6.8s
  120   1.0105   1.0105    0.254   1.74e-02   6.7s ***
  121   0.9989   0.9989    0.257   1.74e-02   6.6s
  122   0.9951   0.9951    0.255   1.74e-02   6.6s
  123   0.9780   0.9780    0.251   1.73e-02   6.6s ***
  124   0.9758   0.9758    0.254   1.73e-02   6.6s
  125   0.9697   0.9697    0.253   1.73e-02   6.5s
  126   0.9606   0.9606    0.252   1.73e-02   6.4s
  127   0.9671   0.9671    0.251   1.73e-02   6.7s ***
  128   0.9645   0.9645    0.250   1.72e-02   6.7s ***
  129   0.9568   0.9568    0.248   1.72e-02   6.6s ***
  130   0.9510   0.9510    0.251   1.72e-02   6.6s
  131   0.9502   0.9502    0.248   1.72e-02   6.5s ***
  132   0.9421   0.9421    0.249   1.71e-02   6.6s
  133   0.9388   0.9388    0.246   1.71e-02   6.5s ***
  134   0.9372   0.9372    0.245   1.71e-02   6.6s ***
  135   0.9311   0.9311    0.242   1.71e-02   6.7s ***
  136   0.9257   0.9257    0.248   1.71e-02   6.8s
  137   0.9190   0.9190    0.245   1.70e-02   6.6s
  138   0.9104   0.9104    0.239   1.70e-02   6.7s ***
  139   0.9130   0.9130    0.245   1.70e-02   6.7s
  140   0.9136   0.9136    0.239   1.70e-02   6.6s
  141   0.8973   0.8973    0.241   1.70e-02   6.5s
  142   0.8931   0.8931    0.241   1.69e-02   6.6s
  143   0.8941   0.8941    0.243   1.69e-02   6.5s
  144   0.8915   0.8915    0.240   1.69e-02   6.6s
  145   0.8793   0.8793    0.240   1.69e-02   6.6s
  146   0.8813   0.8813    0.243   1.68e-02   6.6s
  147   0.8728   0.8728    0.236   1.68e-02   6.6s ***
  148   0.8756   0.8756    0.238   1.68e-02   6.5s
  149   0.8652   0.8652    0.241   1.68e-02   6.5s
  150   0.8587   0.8587    0.238   1.68e-02   6.6s
  151   0.8602   0.8602    0.238   1.67e-02   6.6s
  152   0.8528   0.8528    0.237   1.67e-02   6.6s
  153   0.8566   0.8566    0.240   1.67e-02   6.7s
  154   0.8398   0.8398    0.236   1.67e-02   6.6s
  155   0.8499   0.8499    0.237   1.67e-02   6.5s
  156   0.8322   0.8322    0.233   1.66e-02   6.5s ***
  157   0.8346   0.8346    0.233   1.66e-02   6.8s
  158   0.8300   0.8300    0.235   1.66e-02   6.9s
  159   0.8268   0.8268    0.234   1.66e-02   6.8s
  160   0.8261   0.8261    0.234   1.65e-02   6.8s
  161   0.8161   0.8161    0.234   1.65e-02   7.0s
  162   0.8192   0.8192    0.235   1.65e-02   7.0s
  163   0.8135   0.8135    0.233   1.65e-02   6.7s
  164   0.8078   0.8078    0.232   1.65e-02   6.9s ***
  165   0.8022   0.8022    0.233   1.64e-02   6.8s
  166   0.8039   0.8039    0.233   1.64e-02   6.7s
