======================================================================
LEAD 1: L4_cibr_nesterov_s47
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Split: within-day
  Seed: 47
======================================================================
  Loading 2000/8780 (8.0s)...
  Loading 4000/8780 (13.9s)...
  Loading 6000/8780 (19.6s)...
  Loading 8000/8780 (25.4s)...
Loaded 8780 trials (27.7s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.3M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: step

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   3.5784   3.5784    0.997   1.00e-01   6.4s ***
    2   3.1183   3.1183    0.856   1.00e-01   4.9s ***
    3   2.9715   2.9715    0.776   1.00e-01   4.9s ***
    4   2.7914   2.7914    0.688   1.00e-01   4.9s ***
    5   2.5982   2.5982    0.652   1.00e-01   4.8s ***
    6   2.4288   2.4288    0.602   1.00e-01   5.0s ***
    7   2.2925   2.2925    0.555   1.00e-01   4.9s ***
    8   2.1791   2.1791    0.517   1.00e-01   5.0s ***
    9   2.0677   2.0677    0.491   1.00e-01   4.9s ***
   10   1.9874   1.9874    0.463   1.00e-01   5.0s ***
   11   1.9035   1.9035    0.447   1.00e-01   5.0s ***
   12   1.8370   1.8370    0.427   1.00e-01   4.8s ***
   13   1.7679   1.7679    0.413   1.00e-01   4.9s ***
   14   1.7216   1.7216    0.405   1.00e-01   4.9s ***
   15   1.6658   1.6658    0.395   1.00e-01   4.9s ***
   16   1.6264   1.6264    0.388   1.00e-01   4.9s ***
   17   1.5809   1.5809    0.385   1.00e-01   4.9s ***
   18   1.5377   1.5377    0.368   1.00e-01   5.0s ***
   19   1.5038   1.5038    0.359   1.00e-01   5.0s ***
   20   1.4758   1.4758    0.351   1.00e-01   4.9s ***
   21   1.4466   1.4466    0.345   1.00e-01   5.0s ***
   22   1.4128   1.4128    0.343   1.00e-01   4.9s ***
   23   1.3791   1.3791    0.339   1.00e-01   4.9s ***
   24   1.3535   1.3535    0.333   1.00e-01   5.0s ***
   25   1.3316   1.3316    0.330   1.00e-01   4.8s ***
   26   1.3083   1.3083    0.318   1.00e-01   5.0s ***
   27   1.2849   1.2849    0.317   1.00e-01   5.0s ***
   28   1.2621   1.2621    0.313   1.00e-01   4.9s ***
   29   1.2380   1.2380    0.306   1.00e-01   5.0s ***
   30   1.2203   1.2203    0.303   1.00e-01   4.9s ***
   31   1.2004   1.2004    0.297   1.00e-01   4.9s ***
   32   1.1755   1.1755    0.297   1.00e-01   4.9s ***
   33   1.1592   1.1592    0.293   1.00e-01   4.9s ***
   34   1.1459   1.1459    0.289   1.00e-01   4.9s ***
   35   1.1283   1.1283    0.286   1.00e-01   4.9s ***
   36   1.1096   1.1096    0.281   1.00e-01   4.9s ***
   37   1.0964   1.0964    0.276   1.00e-01   5.0s ***
   38   1.0749   1.0749    0.277   1.00e-01   5.0s
   39   1.0576   1.0576    0.270   1.00e-01   4.9s ***
   40   1.0431   1.0431    0.270   1.00e-01   5.0s
