======================================================================
LEAD 1: L4_cibr_s46
  Preset: cibr
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Orthogonal init: enabled
  Split: within-day
  Seed: 46
======================================================================
  Loading 2000/8780 (7.9s)...
  Loading 4000/8780 (13.8s)...
  Loading 6000/8780 (19.6s)...
  Loading 8000/8780 (25.3s)...
Loaded 8780 trials (27.6s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.3M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: step

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   3.8932   3.8932    0.819   1.00e-01   6.4s ***
    2   3.1181   3.1181    0.758   1.00e-01   5.1s ***
    3   2.9532   2.9532    0.740   1.00e-01   5.1s ***
    4   2.7838   2.7838    0.673   1.00e-01   5.2s ***
    5   2.6172   2.6172    0.621   1.00e-01   5.1s ***
    6   2.4632   2.4632    0.588   1.00e-01   5.3s ***
    7   2.3145   2.3145    0.558   1.00e-01   5.1s ***
    8   2.1984   2.1984    0.521   1.00e-01   5.2s ***
    9   2.1011   2.1011    0.504   1.00e-01   5.2s ***
   10   2.0154   2.0154    0.480   1.00e-01   5.2s ***
   11   1.9352   1.9352    0.461   1.00e-01   5.2s ***
   12   1.8714   1.8714    0.442   1.00e-01   5.3s ***
   13   1.8096   1.8096    0.434   1.00e-01   5.2s ***
   14   1.7605   1.7605    0.421   1.00e-01   5.3s ***
   15   1.7106   1.7106    0.410   1.00e-01   5.3s ***
   16   1.6628   1.6628    0.402   1.00e-01   5.2s ***
