======================================================================
LEAD 1: L4_enhanced_s42
  Preset: enhanced
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=1024, layers=5, BiGRU
  Stacking: kernel=32 (640ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.1 momentum=0.9
  Noise: white=0.8, offset=0.2
  Batch: 128, Dropout: 0.4
  Post-RNN head: dim=256
  Speckled mask: p=0.3
  Orthogonal init: enabled
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (8.1s)...
  Loading 4000/8780 (14.0s)...
  Loading 6000/8780 (19.8s)...
  Loading 8000/8780 (25.6s)...
Loaded 8780 trials (27.9s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 98.7M params
  Stacked input: 8192D → 1024D
  RNN output: 2048D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 1851 epochs, 54 batches/epoch
Scheduler: step

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   4.0341   4.0341    0.985   1.00e-01   6.5s ***
    2   3.1963   3.1963    0.932   1.00e-01   5.5s ***
    3   3.0992   3.0992    0.899   1.00e-01   5.2s ***
    4   3.0329   3.0329    0.829   1.00e-01   5.4s ***
    5   2.9346   2.9346    0.766   1.00e-01   5.3s ***
    6   2.8337   2.8337    0.742   1.00e-01   5.7s ***
    7   2.7443   2.7443    0.715   1.00e-01   5.4s ***
    8   2.6528   2.6528    0.692   1.00e-01   5.4s ***
    9   2.5712   2.5712    0.673   1.00e-01   5.3s ***
   10   2.4893   2.4893    0.631   1.00e-01   5.2s ***
   11   2.4028   2.4028    0.604   1.00e-01   5.4s ***
   12   2.3178   2.3178    0.568   1.00e-01   5.4s ***
   13   2.2339   2.2339    0.555   1.00e-01   5.3s ***
   14   2.1551   2.1551    0.547   1.00e-01   5.8s ***
   15   2.1012   2.1012    0.523   1.00e-01   5.7s ***
   16   2.0475   2.0475    0.501   1.00e-01   5.5s ***
   17   2.0048   2.0048    0.491   1.00e-01   5.4s ***
   18   1.9680   1.9680    0.491   1.00e-01   5.4s ***
   19   1.9322   1.9322    0.483   1.00e-01   5.3s ***
   20   1.9017   1.9017    0.473   1.00e-01   5.3s ***
   21   1.8696   1.8696    0.469   1.00e-01   5.5s ***
   22   1.8434   1.8434    0.459   1.00e-01   5.4s ***
   23   1.8189   1.8189    0.453   1.00e-01   5.4s ***
   24   1.8188   1.8188    0.448   1.00e-01   5.4s ***
   25   1.7827   1.7827    0.442   1.00e-01   5.3s ***
   26   1.7627   1.7627    0.438   1.00e-01   5.4s ***
   27   1.7529   1.7529    0.426   1.00e-01   5.3s ***
   28   1.7298   1.7298    0.431   1.00e-01   5.3s
   29   1.7078   1.7078    0.418   1.00e-01   5.2s ***
   30   1.6910   1.6910    0.422   1.00e-01   5.4s
   31   1.6804   1.6804    0.412   1.00e-01   5.4s ***
   32   1.6764   1.6764    0.423   1.00e-01   5.2s
   33   1.6595   1.6595    0.407   1.00e-01   5.3s ***
   34   1.6412   1.6412    0.411   1.00e-01   5.2s
