======================================================================
LEAD 1: L4_linderman_s42
  Preset: linderman
  Data: /mnt/home/vincent.wilmet/brain2speech/data/sentences_paper_256d.h5 (256D)
  Model: hidden=512, layers=5, BiGRU
  Stacking: kernel=14 (280ms), stride=4 (80ms)
  Day-specific: 256→256 softsign
  Optimizer: sgd lr=0.025 momentum=0.9
  Noise: white=1.0, offset=0.2
  Batch: 64, Dropout: 0.4
  Post-RNN head: dim=256
  Speckled mask: p=0.3
  Split: within-day
  Seed: 42
======================================================================
  Loading 2000/8780 (7.9s)...
  Loading 4000/8780 (13.8s)...
  Loading 6000/8780 (19.5s)...
  Loading 8000/8780 (25.3s)...
Loaded 8780 trials (27.6s) — raw 256D, avg 315 frames

Split: within-day (40/day test, 10% val)
Trials: 6942 train, 878 val, 960 test
Feature dim: 256
Avg raw frames: 315

Model: EnhancedGRU (BiGRU), 25.8M params
  Stacked input: 3584D → 512D
  RNN output: 1024D
  Day-specific: 24 sessions (24 train, 0 shared)

Training: 925 epochs, 108 batches/epoch
Scheduler: linear

Epoch     Loss      CTC   ValPER         LR   Time
-------------------------------------------------------
    1   3.4225   3.4225    1.000   2.50e-02   6.9s ***
    2   3.2013   3.2013    1.000   2.49e-02   5.4s ***
    3   3.1403   3.1403    0.971   2.49e-02   5.3s ***
    4   3.0779   3.0779    0.935   2.49e-02   5.3s ***
    5   3.0110   3.0110    0.898   2.49e-02   5.2s ***
    6   2.9418   2.9418    0.865   2.48e-02   5.3s ***
    7   2.8708   2.8708    0.841   2.48e-02   5.2s ***
    8   2.7989   2.7989    0.831   2.48e-02   5.2s ***
    9   2.7308   2.7308    0.765   2.48e-02   5.3s ***
   10   2.6613   2.6613    0.751   2.47e-02   5.3s ***
   11   2.5922   2.5922    0.702   2.47e-02   5.3s ***
   12   2.5288   2.5288    0.689   2.47e-02   5.2s ***
   13   2.4733   2.4733    0.673   2.46e-02   5.3s ***
   14   2.4220   2.4220    0.652   2.46e-02   5.2s ***
   15   2.3713   2.3713    0.627   2.46e-02   5.1s ***
   16   2.3245   2.3245    0.605   2.46e-02   5.2s ***
   17   2.2819   2.2819    0.586   2.45e-02   5.2s ***
   18   2.2438   2.2438    0.586   2.45e-02   5.2s
   19   2.2076   2.2076    0.565   2.45e-02   5.2s ***
   20   2.1710   2.1710    0.560   2.45e-02   5.2s ***
   21   2.1381   2.1381    0.538   2.44e-02   5.1s ***
   22   2.1112   2.1112    0.539   2.44e-02   5.2s
   23   2.0775   2.0775    0.508   2.44e-02   5.1s ***
   24   2.0489   2.0489    0.512   2.44e-02   4.9s
   25   2.0202   2.0202    0.512   2.43e-02   5.2s
   26   1.9929   1.9929    0.500   2.43e-02   5.2s ***
   27   1.9698   1.9698    0.508   2.43e-02   5.2s
   28   1.9474   1.9474    0.497   2.42e-02   5.3s ***
   29   1.9226   1.9226    0.481   2.42e-02   5.2s ***
   30   1.9063   1.9063    0.476   2.42e-02   5.2s ***
   31   1.8920   1.8920    0.467   2.42e-02   5.2s ***
   32   1.8767   1.8767    0.473   2.41e-02   5.2s
   33   1.8577   1.8577    0.460   2.41e-02   5.2s ***
   34   1.8491   1.8491    0.456   2.41e-02   5.3s ***
   35   1.8344   1.8344    0.465   2.41e-02   5.1s
   36   1.8228   1.8228    0.456   2.40e-02   5.4s
   37   1.8055   1.8055    0.449   2.40e-02   5.2s ***
   38   1.7975   1.7975    0.458   2.40e-02   5.1s
   39   1.7859   1.7859    0.447   2.39e-02   5.2s ***
   40   1.7786   1.7786    0.448   2.39e-02   5.0s
   41   1.7622   1.7622    0.444   2.39e-02   5.1s ***
   42   1.7540   1.7540    0.453   2.39e-02   5.1s
   43   1.7608   1.7608    0.429   2.38e-02   5.2s ***
   44   1.7395   1.7395    0.429   2.38e-02   5.1s ***
   45   1.7267   1.7267    0.431   2.38e-02   5.2s
   46   1.7201   1.7201    0.422   2.38e-02   5.2s ***
   47   1.7061   1.7061    0.427   2.37e-02   5.2s
   48   1.7123   1.7123    0.420   2.37e-02   5.2s ***
   49   1.6951   1.6951    0.418   2.37e-02   5.2s ***
   50   1.6927   1.6927    0.417   2.37e-02   5.2s ***
   51   1.6849   1.6849    0.421   2.36e-02   5.3s
   52   1.6819   1.6819    0.415   2.36e-02   5.2s ***
   53   1.6728   1.6728    0.414   2.36e-02   5.2s ***
   54   1.6630   1.6630    0.412   2.35e-02   5.0s ***
   55   1.6527   1.6527    0.410   2.35e-02   5.1s ***
   56   1.6581   1.6581    0.403   2.35e-02   5.0s ***
   57   1.6542   1.6542    0.398   2.35e-02   5.2s ***
   58   1.6368   1.6368    0.402   2.34e-02   5.1s
   59   1.6260   1.6260    0.397   2.34e-02   5.1s ***
   60   1.6156   1.6156    0.393   2.34e-02   5.1s ***
   61   1.6168   1.6168    0.391   2.34e-02   5.3s ***
   62   1.6194   1.6194    0.394   2.33e-02   5.1s
   63   1.6172   1.6172    0.388   2.33e-02   5.2s ***
   64   1.5933   1.5933    0.384   2.33e-02   5.3s ***
   65   1.5997   1.5997    0.389   2.32e-02   5.2s
   66   1.5956   1.5956    0.391   2.32e-02   5.4s
   67   1.5931   1.5931    0.389   2.32e-02   5.3s
   68   1.5916   1.5916    0.390   2.32e-02   5.2s
   69   1.5902   1.5902    0.381   2.31e-02   5.3s ***
   70   1.5817   1.5817    0.380   2.31e-02   5.3s ***
   71   1.5756   1.5756    0.380   2.31e-02   5.3s ***
   72   1.5609   1.5609    0.380   2.31e-02   5.2s
   73   1.5477   1.5477    0.379   2.30e-02   5.3s ***
   74   1.5669   1.5669    0.385   2.30e-02   5.4s
   75   1.5490   1.5490    0.379   2.30e-02   5.3s ***
   76   1.5468   1.5468    0.375   2.29e-02   5.3s ***
   77   1.5435   1.5435    0.379   2.29e-02   5.3s
   78   1.5520   1.5520    0.371   2.29e-02   5.4s ***
   79   1.5380   1.5380    0.368   2.29e-02   5.4s ***
   80   1.5258   1.5258    0.367   2.28e-02   5.3s ***
   81   1.5296   1.5296    0.368   2.28e-02   5.3s
   82   1.5190   1.5190    0.365   2.28e-02   5.2s ***
   83   1.5109   1.5109    0.363   2.28e-02   5.2s ***
   84   1.5125   1.5125    0.363   2.27e-02   5.2s ***
   85   1.5143   1.5143    0.363   2.27e-02   5.4s
   86   1.5022   1.5022    0.355   2.27e-02   5.3s ***
   87   1.4981   1.4981    0.359   2.27e-02   5.3s
   88   1.4910   1.4910    0.358   2.26e-02   5.4s
   89   1.4924   1.4924    0.358   2.26e-02   5.3s
   90   1.4884   1.4884    0.360   2.26e-02   5.2s
   91   1.4819   1.4819    0.355   2.25e-02   5.2s
   92   1.4838   1.4838    0.354   2.25e-02   5.2s ***
   93   1.4672   1.4672    0.349   2.25e-02   5.4s ***
   94   1.4663   1.4663    0.345   2.25e-02   5.4s ***
   95   1.4649   1.4649    0.352   2.24e-02   5.3s
   96   1.4671   1.4671    0.351   2.24e-02   5.5s
   97   1.4610   1.4610    0.351   2.24e-02   5.5s
   98   1.4567   1.4567    0.355   2.24e-02   5.5s
   99   1.4552   1.4552    0.348   2.23e-02   5.4s
  100   1.4620   1.4620    0.343   2.23e-02   5.6s ***
  101   1.4488   1.4488    0.340   2.23e-02   5.7s ***
  102   1.4465   1.4465    0.347   2.22e-02   5.5s
  103   1.4465   1.4465    0.347   2.22e-02   5.6s
  104   1.4457   1.4457    0.346   2.22e-02   5.7s
  105   1.4351   1.4351    0.339   2.22e-02   5.7s ***
  106   1.4289   1.4289    0.337   2.21e-02   5.6s ***
  107   1.4272   1.4272    0.338   2.21e-02   5.8s
  108   1.4250   1.4250    0.338   2.21e-02   5.7s
  109   1.4270   1.4270    0.339   2.21e-02   5.6s
  110   1.4296   1.4296    0.335   2.20e-02   5.7s ***
  111   1.4259   1.4259    0.335   2.20e-02   5.5s
  112   1.4229   1.4229    0.335   2.20e-02   5.8s
  113   1.4136   1.4136    0.337   2.19e-02   5.7s
  114   1.4230   1.4230    0.330   2.19e-02   5.8s ***
  115   1.4061   1.4061    0.333   2.19e-02   5.6s
  116   1.4179   1.4179    0.333   2.19e-02   5.6s
  117   1.4022   1.4022    0.326   2.18e-02   5.6s ***
  118   1.3963   1.3963    0.331   2.18e-02   5.6s
  119   1.3948   1.3948    0.328   2.18e-02   5.6s
  120   1.4021   1.4021    0.331   2.18e-02   5.7s
  121   1.3996   1.3996    0.329   2.17e-02   5.6s
  122   1.3854   1.3854    0.323   2.17e-02   5.7s ***
  123   1.3979   1.3979    0.335   2.17e-02   5.6s
  124   1.3914   1.3914    0.324   2.17e-02   5.8s
  125   1.3813   1.3813    0.323   2.16e-02   5.8s
  126   1.3741   1.3741    0.321   2.16e-02   5.7s ***
  127   1.3671   1.3671    0.319   2.16e-02   5.7s ***
  128   1.3632   1.3632    0.323   2.15e-02   5.6s
  129   1.3593   1.3593    0.316   2.15e-02   5.9s ***
  130   1.3601   1.3601    0.322   2.15e-02   5.6s
  131   1.3553   1.3553    0.321   2.15e-02   5.9s
  132   1.3629   1.3629    0.324   2.14e-02   5.8s
  133   1.3507   1.3507    0.318   2.14e-02   5.8s
  134   1.3539   1.3539    0.320   2.14e-02   6.0s
  135   1.3435   1.3435    0.318   2.14e-02   5.8s
  136   1.3389   1.3389    0.316   2.13e-02   5.9s
  137   1.3351   1.3351    0.318   2.13e-02   5.6s
  138   1.3318   1.3318    0.315   2.13e-02   5.4s ***
  139   1.3247   1.3247    0.316   2.12e-02   5.7s
  140   1.3281   1.3281    0.312   2.12e-02   5.6s ***
  141   1.3259   1.3259    0.314   2.12e-02   5.7s
  142   1.3295   1.3295    0.313   2.12e-02   5.6s
  143   1.3221   1.3221    0.311   2.11e-02   5.6s ***
  144   1.3083   1.3083    0.311   2.11e-02   5.7s
  145   1.3118   1.3118    0.312   2.11e-02   5.7s
  146   1.3084   1.3084    0.314   2.11e-02   5.6s
  147   1.3047   1.3047    0.309   2.10e-02   5.7s ***
  148   1.3193   1.3193    0.319   2.10e-02   5.6s
  149   1.3147   1.3147    0.319   2.10e-02   5.8s
  150   1.3028   1.3028    0.312   2.10e-02   5.4s
  151   1.2960   1.2960    0.312   2.09e-02   5.9s
  152   1.3037   1.3037    0.318   2.09e-02   5.7s
  153   1.2937   1.2937    0.308   2.09e-02   5.7s ***
  154   1.2889   1.2889    0.310   2.08e-02   5.7s
  155   1.2821   1.2821    0.308   2.08e-02   5.7s ***
  156   1.2833   1.2833    0.312   2.08e-02   5.7s
  157   1.2884   1.2884    0.311   2.08e-02   5.8s
  158   1.2807   1.2807    0.308   2.07e-02   5.7s ***
  159   1.2728   1.2728    0.304   2.07e-02   5.7s ***
  160   1.2737   1.2737    0.305   2.07e-02   5.6s
  161   1.2742   1.2742    0.304   2.07e-02   5.6s
  162   1.2757   1.2757    0.303   2.06e-02   5.8s ***
  163   1.2654   1.2654    0.304   2.06e-02   5.7s
  164   1.2747   1.2747    0.308   2.06e-02   5.7s
  165   1.2630   1.2630    0.307   2.05e-02   5.6s
  166   1.2690   1.2690    0.305   2.05e-02   5.6s
  167   1.2653   1.2653    0.309   2.05e-02   5.5s
  168   1.2700   1.2700    0.308   2.05e-02   5.9s
  169   1.2626   1.2626    0.303   2.04e-02   5.6s ***
  170   1.2537   1.2537    0.303   2.04e-02   5.8s
  171   1.2559   1.2559    0.301   2.04e-02   5.8s ***
  172   1.2552   1.2552    0.300   2.04e-02   5.5s ***
  173   1.2433   1.2433    0.302   2.03e-02   5.6s
  174   1.2377   1.2377    0.301   2.03e-02   5.7s
  175   1.2536   1.2536    0.296   2.03e-02   5.7s ***
  176   1.2369   1.2369    0.305   2.02e-02   5.5s
  177   1.2375   1.2375    0.298   2.02e-02   5.5s
  178   1.2316   1.2316    0.299   2.02e-02   5.7s
  179   1.2270   1.2270    0.296   2.02e-02   5.8s
  180   1.2296   1.2296    0.300   2.01e-02   5.8s
  181   1.2332   1.2332    0.303   2.01e-02   5.7s
  182   1.2418   1.2418    0.302   2.01e-02   5.6s
  183   1.2520   1.2520    0.301   2.01e-02   5.7s
  184   1.2265   1.2265    0.300   2.00e-02   5.8s
  185   1.2231   1.2231    0.297   2.00e-02   5.8s
  186   1.2173   1.2173    0.296   2.00e-02   5.7s
  187   1.2140   1.2140    0.297   2.00e-02   5.7s
  188   1.2128   1.2128    0.296   1.99e-02   5.7s ***
  189   1.2122   1.2122    0.290   1.99e-02   5.8s ***
  190   1.2077   1.2077    0.292   1.99e-02   5.8s
  191   1.2059   1.2059    0.294   1.98e-02   5.9s
  192   1.1978   1.1978    0.296   1.98e-02   5.8s
  193   1.2020   1.2020    0.292   1.98e-02   5.7s
  194   1.1961   1.1961    0.292   1.98e-02   5.8s
  195   1.1999   1.1999    0.290   1.97e-02   5.7s
  196   1.1925   1.1925    0.292   1.97e-02   5.9s
  197   1.1908   1.1908    0.290   1.97e-02   5.7s
  198   1.1937   1.1937    0.290   1.97e-02   5.8s
  199   1.2022   1.2022    0.296   1.96e-02   6.0s
  200   1.1844   1.1844    0.290   1.96e-02   6.1s
  201   1.1860   1.1860    0.291   1.96e-02   5.8s
  202   1.1811   1.1811    0.285   1.95e-02   5.9s ***
  203   1.1728   1.1728    0.283   1.95e-02   5.8s ***
  204   1.1852   1.1852    0.289   1.95e-02   5.9s
  205   1.1788   1.1788    0.286   1.95e-02   5.8s
  206   1.1710   1.1710    0.290   1.94e-02   6.0s
  207   1.1892   1.1892    0.285   1.94e-02   5.9s
  208   1.1665   1.1665    0.285   1.94e-02   5.9s
  209   1.1611   1.1611    0.286   1.94e-02   6.0s
  210   1.1556   1.1556    0.283   1.93e-02   6.1s ***
  211   1.1598   1.1598    0.284   1.93e-02   5.9s
  212   1.1578   1.1578    0.284   1.93e-02   6.0s
  213   1.1514   1.1514    0.284   1.92e-02   6.1s
  214   1.1542   1.1542    0.285   1.92e-02   5.9s
  215   1.1537   1.1537    0.280   1.92e-02   5.8s ***
  216   1.1497   1.1497    0.281   1.92e-02   6.0s
  217   1.1474   1.1474    0.284   1.91e-02   6.0s
  218   1.1406   1.1406    0.285   1.91e-02   5.8s
  219   1.1432   1.1432    0.282   1.91e-02   5.9s
  220   1.1533   1.1533    0.283   1.91e-02   5.8s
  221   1.1426   1.1426    0.284   1.90e-02   6.0s
  222   1.1409   1.1409    0.282   1.90e-02   5.9s
  223   1.1423   1.1423    0.282   1.90e-02   5.9s
  224   1.1419   1.1419    0.285   1.90e-02   5.8s
  225   1.1444   1.1444    0.284   1.89e-02   5.7s
  226   1.1676   1.1676    0.280   1.89e-02   5.9s
  227   1.1430   1.1430    0.284   1.89e-02   6.0s
  228   1.1422   1.1422    0.277   1.88e-02   5.7s ***
  229   1.1246   1.1246    0.282   1.88e-02   5.8s
  230   1.1313   1.1313    0.283   1.88e-02   5.9s
  231   1.1178   1.1178    0.278   1.88e-02   5.8s
  232   1.1213   1.1213    0.279   1.87e-02   6.1s
  233   1.1244   1.1244    0.276   1.87e-02   6.1s ***
  234   1.1181   1.1181    0.278   1.87e-02   5.9s
  235   1.1219   1.1219    0.279   1.87e-02   5.8s
  236   1.1055   1.1055    0.276   1.86e-02   5.9s ***
  237   1.1115   1.1115    0.277   1.86e-02   5.8s
  238   1.1061   1.1061    0.279   1.86e-02   5.7s
  239   1.1097   1.1097    0.277   1.85e-02   6.0s
  240   1.1139   1.1139    0.280   1.85e-02   5.8s
  241   1.1054   1.1054    0.279   1.85e-02   5.8s
  242   1.1155   1.1155    0.279   1.85e-02   5.7s
  243   1.1041   1.1041    0.278   1.84e-02   5.7s
  244   1.0996   1.0996    0.275   1.84e-02   5.8s ***
  245   1.0979   1.0979    0.277   1.84e-02   6.0s
  246   1.0948   1.0948    0.273   1.84e-02   5.8s ***
  247   1.1003   1.1003    0.276   1.83e-02   5.8s
  248   1.1044   1.1044    0.275   1.83e-02   5.8s
  249   1.0891   1.0891    0.276   1.83e-02   5.8s
  250   1.0846   1.0846    0.272   1.83e-02   5.8s ***
  251   1.0892   1.0892    0.276   1.82e-02   5.8s
  252   1.0833   1.0833    0.275   1.82e-02   5.9s
  253   1.0829   1.0829    0.275   1.82e-02   5.8s
  254   1.0818   1.0818    0.270   1.81e-02   5.9s ***
  255   1.0722   1.0722    0.274   1.81e-02   5.8s
  256   1.0773   1.0773    0.273   1.81e-02   5.8s
  257   1.0817   1.0817    0.275   1.81e-02   5.8s
  258   1.0783   1.0783    0.270   1.80e-02   5.8s
  259   1.0776   1.0776    0.272   1.80e-02   5.7s
  260   1.0712   1.0712    0.275   1.80e-02   5.9s
  261   1.0693   1.0693    0.267   1.80e-02   5.7s ***
  262   1.0661   1.0661    0.271   1.79e-02   5.7s
  263   1.0605   1.0605    0.271   1.79e-02   5.7s
  264   1.0608   1.0608    0.270   1.79e-02   5.7s
  265   1.0526   1.0526    0.270   1.78e-02   5.7s
  266   1.0632   1.0632    0.264   1.78e-02   5.8s ***
  267   1.0589   1.0589    0.269   1.78e-02   5.8s
  268   1.0548   1.0548    0.270   1.78e-02   5.7s
  269   1.0606   1.0606    0.269   1.77e-02   5.7s
  270   1.0551   1.0551    0.271   1.77e-02   5.6s
  271   1.0513   1.0513    0.273   1.77e-02   5.8s
  272   1.0647   1.0647    0.273   1.77e-02   5.8s
  273   1.0570   1.0570    0.270   1.76e-02   5.8s
  274   1.0674   1.0674    0.270   1.76e-02   5.9s
  275   1.0574   1.0574    0.269   1.76e-02   5.8s
  276   1.0550   1.0550    0.271   1.75e-02   5.8s
  277   1.0455   1.0455    0.268   1.75e-02   5.8s
  278   1.0333   1.0333    0.268   1.75e-02   5.8s
  279   1.0370   1.0370    0.262   1.75e-02   5.8s ***
  280   1.0380   1.0380    0.266   1.74e-02   5.7s
  281   1.0346   1.0346    0.263   1.74e-02   5.7s
  282   1.0407   1.0407    0.265   1.74e-02   5.7s
  283   1.0352   1.0352    0.266   1.74e-02   5.8s
  284   1.0300   1.0300    0.263   1.73e-02   5.9s
  285   1.0329   1.0329    0.265   1.73e-02   5.7s
  286   1.0259   1.0259    0.266   1.73e-02   5.7s
  287   1.0267   1.0267    0.266   1.73e-02   5.8s
  288   1.0339   1.0339    0.262   1.72e-02   5.7s ***
  289   1.0270   1.0270    0.266   1.72e-02   5.8s
  290   1.0246   1.0246    0.269   1.72e-02   5.9s
  291   1.0261   1.0261    0.267   1.71e-02   5.6s
  292   1.0238   1.0238    0.266   1.71e-02   5.8s
  293   1.0208   1.0208    0.267   1.71e-02   5.7s
  294   1.0254   1.0254    0.266   1.71e-02   5.9s
  295   1.0198   1.0198    0.265   1.70e-02   5.9s
  296   1.0286   1.0286    0.265   1.70e-02   5.7s
  297   1.0131   1.0131    0.263   1.70e-02   5.6s
  298   1.0096   1.0096    0.267   1.70e-02   5.9s
  299   1.0097   1.0097    0.267   1.69e-02   5.8s
  300   1.0141   1.0141    0.265   1.69e-02   5.8s
  301   1.0019   1.0019    0.259   1.69e-02   5.8s ***
  302   1.0056   1.0056    0.260   1.68e-02   5.7s
  303   0.9988   0.9988    0.262   1.68e-02   5.7s
  304   0.9949   0.9949    0.260   1.68e-02   5.7s
  305   0.9979   0.9979    0.257   1.68e-02   5.7s ***
  306   0.9953   0.9953    0.258   1.67e-02   5.9s
  307   0.9913   0.9913    0.260   1.67e-02   5.8s
  308   0.9950   0.9950    0.262   1.67e-02   5.8s
  309   0.9861   0.9861    0.258   1.67e-02   5.7s
  310   0.9806   0.9806    0.258   1.66e-02   5.6s
  311   0.9846   0.9846    0.259   1.66e-02   5.9s
  312   0.9858   0.9858    0.258   1.66e-02   5.8s
  313   0.9820   0.9820    0.259   1.65e-02   5.7s
  314   0.9838   0.9838    0.259   1.65e-02   5.7s
  315   0.9853   0.9853    0.256   1.65e-02   5.7s ***
  316   0.9735   0.9735    0.255   1.65e-02   5.7s ***
  317   0.9696   0.9696    0.259   1.64e-02   5.8s
  318   0.9717   0.9717    0.258   1.64e-02   5.8s
  319   0.9685   0.9685    0.256   1.64e-02   5.6s
  320   0.9737   0.9737    0.256   1.64e-02   5.8s
  321   0.9679   0.9679    0.258   1.63e-02   5.7s
  322   0.9703   0.9703    0.256   1.63e-02   5.7s
  323   0.9657   0.9657    0.257   1.63e-02   5.7s
  324   0.9678   0.9678    0.256   1.63e-02   5.7s
  325   0.9611   0.9611    0.255   1.62e-02   5.6s
  326   0.9552   0.9552    0.258   1.62e-02   5.6s
  327   0.9684   0.9684    0.258   1.62e-02   5.7s
  328   0.9646   0.9646    0.256   1.61e-02   5.8s
  329   0.9540   0.9540    0.256   1.61e-02   5.8s
  330   0.9654   0.9654    0.258   1.61e-02   5.7s
  331   0.9587   0.9587    0.259   1.61e-02   5.7s
  332   0.9512   0.9512    0.256   1.60e-02   5.8s
  333   0.9532   0.9532    0.257   1.60e-02   5.8s
  334   0.9539   0.9539    0.256   1.60e-02   5.8s
  335   0.9423   0.9423    0.256   1.60e-02   5.9s
  336   0.9442   0.9442    0.255   1.59e-02   5.8s
  337   0.9539   0.9539    0.255   1.59e-02   5.6s
  338   0.9391   0.9391    0.255   1.59e-02   5.6s
  339   0.9389   0.9389    0.255   1.58e-02   5.7s
  340   0.9287   0.9287    0.256   1.58e-02   5.8s
  341   0.9349   0.9349    0.256   1.58e-02   5.7s
  342   0.9361   0.9361    0.252   1.58e-02   5.8s ***
  343   0.9300   0.9300    0.252   1.57e-02   5.7s
  344   0.9262   0.9262    0.249   1.57e-02   5.7s ***
  345   0.9352   0.9352    0.253   1.57e-02   5.7s
  346   0.9482   0.9482    0.254   1.57e-02   5.7s
  347   0.9353   0.9353    0.251   1.56e-02   5.7s
  348   0.9224   0.9224    0.254   1.56e-02   5.7s
  349   0.9234   0.9234    0.250   1.56e-02   5.6s
  350   0.9284   0.9284    0.256   1.56e-02   5.7s
  351   0.9175   0.9175    0.251   1.55e-02   5.7s
  352   0.9274   0.9274    0.254   1.55e-02   5.7s
  353   0.9250   0.9250    0.251   1.55e-02   5.7s
  354   0.9182   0.9182    0.252   1.54e-02   5.7s
  355   0.9179   0.9179    0.251   1.54e-02   5.9s
  356   0.9221   0.9221    0.251   1.54e-02   5.7s
  357   0.9144   0.9144    0.248   1.54e-02   5.7s ***
  358   0.9174   0.9174    0.248   1.53e-02   5.7s ***
  359   0.9152   0.9152    0.251   1.53e-02   5.7s
  360   0.9079   0.9079    0.247   1.53e-02   5.6s ***
  361   0.9081   0.9081    0.249   1.53e-02   5.7s
  362   0.9110   0.9110    0.250   1.52e-02   5.8s
  363   0.9122   0.9122    0.249   1.52e-02   5.7s
  364   0.9080   0.9080    0.248   1.52e-02   5.8s
  365   0.9036   0.9036    0.245   1.51e-02   5.8s ***
  366   0.8984   0.8984    0.246   1.51e-02   5.7s
  367   0.9013   0.9013    0.249   1.51e-02   5.8s
  368   0.8975   0.8975    0.248   1.51e-02   5.8s
  369   0.8918   0.8918    0.248   1.50e-02   5.8s
  370   0.8982   0.8982    0.245   1.50e-02   5.7s
  371   0.8958   0.8958    0.248   1.50e-02   5.7s
  372   0.8920   0.8920    0.246   1.50e-02   5.8s
  373   0.8901   0.8901    0.247   1.49e-02   5.6s
  374   0.8869   0.8869    0.247   1.49e-02   5.6s
  375   0.8855   0.8855    0.246   1.49e-02   5.7s
  376   0.8846   0.8846    0.246   1.48e-02   5.6s
  377   0.8823   0.8823    0.244   1.48e-02   5.7s ***
  378   0.8746   0.8746    0.247   1.48e-02   5.7s
  379   0.8856   0.8856    0.246   1.48e-02   5.6s
  380   0.8780   0.8780    0.246   1.47e-02   5.8s
  381   0.8806   0.8806    0.246   1.47e-02   5.7s
  382   0.8761   0.8761    0.245   1.47e-02   5.7s
  383   0.8756   0.8756    0.250   1.47e-02   5.7s
  384   0.8717   0.8717    0.241   1.46e-02   5.6s ***
  385   0.8659   0.8659    0.245   1.46e-02   5.7s
  386   0.8673   0.8673    0.242   1.46e-02   5.6s
  387   0.8688   0.8688    0.245   1.46e-02   5.7s
  388   0.8670   0.8670    0.241   1.45e-02   5.6s
  389   0.8609   0.8609    0.244   1.45e-02   5.5s
  390   0.8588   0.8588    0.245   1.45e-02   5.8s
  391   0.8604   0.8604    0.243   1.44e-02   5.6s
  392   0.8544   0.8544    0.246   1.44e-02   5.9s
  393   0.8554   0.8554    0.243   1.44e-02   5.6s
  394   0.8655   0.8655    0.242   1.44e-02   5.6s
  395   0.8592   0.8592    0.242   1.43e-02   5.8s
  396   0.8569   0.8569    0.243   1.43e-02   5.7s
  397   0.8644   0.8644    0.242   1.43e-02   5.6s
  398   0.8570   0.8570    0.240   1.43e-02   5.6s ***
  399   0.8534   0.8534    0.240   1.42e-02   5.7s
  400   0.8517   0.8517    0.244   1.42e-02   5.7s
  401   0.8447   0.8447    0.242   1.42e-02   5.8s
  402   0.8457   0.8457    0.242   1.41e-02   5.7s
  403   0.8468   0.8468    0.245   1.41e-02   5.8s
  404   0.8556   0.8556    0.241   1.41e-02   5.7s
  405   0.8499   0.8499    0.241   1.41e-02   5.7s
  406   0.8447   0.8447    0.243   1.40e-02   5.6s
  407   0.8462   0.8462    0.243   1.40e-02   5.7s
  408   0.8500   0.8500    0.244   1.40e-02   5.8s
