======================================================================
PAPER REPLICA: Willett et al. 2023 Decoder
  GPUs: [0, 1]
  Batch size: 64 (paper: 64)
  LR: 0.0003 → 0 linear decay (paper: 0.02)
  Adam epsilon: 1e-08 (paper: 0.1)
  Noise: white=0.05, offset=0.0
  Stack: kernel=14 (280ms), stride=4 (80ms)
  Dropout: 0.3, L2: 1e-05
  Direction: UNIDIRECTIONAL (paper)
  Projection: 1280D → 256D via PCA
======================================================================
  Loading trial 2000/8780 (32.6s)...
  Loading trial 4000/8780 (55.8s)...
  Loading trial 6000/8780 (78.5s)...
  Loading trial 8000/8780 (101.3s)...
Loaded 8780 trials from /mnt/home/vincent.wilmet/brain2speech/data/sentences_train.h5 (109.8s)
  Stacked: kernel=14, stride=4
  Stacked features: 17920D per 80ms step
  Avg stacked length: 76 steps

Projecting features: 1280D → 256D via PCA...
  Raw feature dim per bin: 1280
  Re-loading with projection...
  PCA: 256 components explain 69.1% variance
  New stacked dim: 3584D

Sessions: 24 (18 train, 2 val, 4 test)
Train session indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
Trials: 6260 train, 720 val, 1800 test

Model: PaperGRUSimple (unidirectional), 53.8M params
  Input: 3584D stacked features
  Hidden: 512 × 5 layers
  Day-specific layers: 18 trained, 6 shared

Training schedule:
  Batches/epoch: 97
  Target minibatches: 10000 → ~103 epochs
  LR: 0.0003 → ~0 linear decay
Epoch   1/103 | loss=3.9978 | val_PER=1.000 | lr=2.97e-04 | 24.2s
Epoch   2/103 | loss=3.5156 | val_PER=1.000 | lr=2.94e-04 | 17.7s
Epoch   3/103 | loss=3.3812 | val_PER=1.000 | lr=2.91e-04 | 20.4s
Epoch   4/103 | loss=3.1625 | val_PER=0.966 | lr=2.88e-04 | 18.7s
Epoch   5/103 | loss=2.9522 | val_PER=0.884 | lr=2.85e-04 | 20.0s
Epoch   6/103 | loss=2.7320 | val_PER=0.780 | lr=2.83e-04 | 20.1s
Epoch   7/103 | loss=2.5239 | val_PER=0.724 | lr=2.80e-04 | 19.7s
Epoch   8/103 | loss=2.3152 | val_PER=0.693 | lr=2.77e-04 | 18.0s
Epoch   9/103 | loss=2.1329 | val_PER=0.672 | lr=2.74e-04 | 18.2s
Epoch  10/103 | loss=1.9863 | val_PER=0.656 | lr=2.71e-04 | 20.1s
Epoch  11/103 | loss=1.8750 | val_PER=0.646 | lr=2.68e-04 | 18.0s
Epoch  12/103 | loss=1.7898 | val_PER=0.619 | lr=2.65e-04 | 19.2s
Epoch  13/103 | loss=1.7011 | val_PER=0.620 | lr=2.62e-04 | 18.4s
Epoch  14/103 | loss=1.6193 | val_PER=0.620 | lr=2.59e-04 | 18.8s
Epoch  15/103 | loss=1.5689 | val_PER=0.610 | lr=2.56e-04 | 18.8s
Epoch  16/103 | loss=1.5044 | val_PER=0.601 | lr=2.53e-04 | 18.5s
Epoch  17/103 | loss=1.4502 | val_PER=0.594 | lr=2.51e-04 | 18.5s
Epoch  18/103 | loss=1.3917 | val_PER=0.592 | lr=2.48e-04 | 18.1s
Epoch  19/103 | loss=1.3471 | val_PER=0.592 | lr=2.45e-04 | 19.0s
Epoch  20/103 | loss=1.2939 | val_PER=0.587 | lr=2.42e-04 | 18.4s
Epoch  21/103 | loss=1.2557 | val_PER=0.587 | lr=2.39e-04 | 19.3s
Epoch  22/103 | loss=1.2353 | val_PER=0.583 | lr=2.36e-04 | 20.8s
Epoch  23/103 | loss=1.1837 | val_PER=0.582 | lr=2.33e-04 | 18.6s
Epoch  24/103 | loss=1.1607 | val_PER=0.571 | lr=2.30e-04 | 18.8s
Epoch  25/103 | loss=1.1140 | val_PER=0.576 | lr=2.27e-04 | 20.1s
Epoch  26/103 | loss=1.0950 | val_PER=0.570 | lr=2.24e-04 | 20.9s
Epoch  27/103 | loss=1.0644 | val_PER=0.570 | lr=2.21e-04 | 18.3s
Epoch  28/103 | loss=1.0351 | val_PER=0.572 | lr=2.19e-04 | 18.2s
