======================================================================
PAPER REPLICA: Willett et al. 2023 Decoder
  GPUs: [0, 1]
  Batch size: 64 (paper: 64)
  LR: 0.0003 → 0 linear decay (paper: 0.02)
  Adam epsilon: 1e-08 (paper: 0.1)
  Noise: white=0.05, offset=0.0
  Stack: kernel=1 (20ms), stride=1 (20ms)
  Dropout: 0.3, L2: 1e-05
  Direction: BIDIRECTIONAL
======================================================================
  Loading trial 2000/8780 (28.7s)...
  Loading trial 4000/8780 (49.3s)...
  Loading trial 6000/8780 (69.5s)...
  Loading trial 8000/8780 (89.9s)...
Loaded 8780 trials from /mnt/home/vincent.wilmet/brain2speech/data/sentences_train.h5 (97.4s)
  Stacked: kernel=1, stride=1
  Stacked features: 1280D per 20ms step
  Avg stacked length: 315 steps

Sessions: 24 (18 train, 2 val, 4 test)
Train session indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
Trials: 6260 train, 720 val, 1800 test

Model: PaperGRUSimple (bidirectional), 38.5M params
  Input: 1280D stacked features
  Hidden: 512 × 5 layers
  Day-specific layers: 18 trained, 6 shared

Training schedule:
  Batches/epoch: 97
  Max epochs: 103
  Scheduler: ReduceLROnPlateau
  LR: 0.0003
Epoch   1/103 | loss=6.2640 | val_PER=1.000 | lr=3.00e-04 | 53.1s
Epoch   2/103 | loss=3.4619 | val_PER=1.000 | lr=3.00e-04 | 48.4s
Epoch   3/103 | loss=3.2009 | val_PER=0.987 | lr=3.00e-04 | 48.2s
Epoch   4/103 | loss=2.8580 | val_PER=0.973 | lr=3.00e-04 | 48.4s
Epoch   5/103 | loss=2.5971 | val_PER=0.970 | lr=3.00e-04 | 49.3s
Epoch   6/103 | loss=2.3863 | val_PER=0.956 | lr=3.00e-04 | 47.5s
Epoch   7/103 | loss=2.1887 | val_PER=0.900 | lr=3.00e-04 | 48.0s
Epoch   8/103 | loss=1.9918 | val_PER=0.789 | lr=3.00e-04 | 47.8s
Epoch   9/103 | loss=1.8166 | val_PER=0.696 | lr=3.00e-04 | 48.4s
Epoch  10/103 | loss=1.6592 | val_PER=0.634 | lr=3.00e-04 | 48.5s
Epoch  11/103 | loss=1.5368 | val_PER=0.607 | lr=3.00e-04 | 48.2s
Epoch  12/103 | loss=1.3924 | val_PER=0.585 | lr=3.00e-04 | 48.3s
Epoch  13/103 | loss=1.3208 | val_PER=0.561 | lr=3.00e-04 | 47.2s
Epoch  14/103 | loss=1.2146 | val_PER=0.560 | lr=3.00e-04 | 47.6s
Epoch  15/103 | loss=1.1347 | val_PER=0.545 | lr=3.00e-04 | 47.3s
