======================================================================
PAPER REPLICA: Willett et al. 2023 Decoder
  GPUs: [0, 1]
  Batch size: 64 (paper: 64)
  LR: 0.0003 → 0 linear decay (paper: 0.02)
  Adam epsilon: 1e-08 (paper: 0.1)
  Noise: white=0.2, offset=0.05
  Stack: kernel=1 (20ms), stride=1 (20ms)
  Dropout: 0.4, L2: 1e-05
  Direction: BIDIRECTIONAL
======================================================================
  Loading trial 2000/8780 (28.8s)...
  Loading trial 4000/8780 (49.6s)...
  Loading trial 6000/8780 (69.9s)...
  Loading trial 8000/8780 (90.2s)...
Loaded 8780 trials from /mnt/home/vincent.wilmet/brain2speech/data/sentences_train.h5 (97.8s)
  Stacked: kernel=1, stride=1
  Stacked features: 1280D per 20ms step
  Avg stacked length: 315 steps

Sessions: 24 (18 train, 2 val, 4 test)
Train session indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
Trials: 6260 train, 720 val, 1800 test

Model: PaperGRUSimple (bidirectional), 38.5M params
  Input: 1280D stacked features
  Hidden: 512 × 5 layers
  Day-specific layers: 18 trained, 6 shared

Training schedule:
  Batches/epoch: 97
  Max epochs: 103
  Scheduler: ReduceLROnPlateau
  LR: 0.0003
Epoch   1/103 | loss=6.4008 | val_PER=1.000 | lr=3.00e-04 | 53.2s
Epoch   2/103 | loss=3.5853 | val_PER=1.000 | lr=3.00e-04 | 48.3s
Epoch   3/103 | loss=3.2820 | val_PER=0.992 | lr=3.00e-04 | 48.0s
Epoch   4/103 | loss=2.9658 | val_PER=0.974 | lr=3.00e-04 | 47.9s
Epoch   5/103 | loss=2.6907 | val_PER=0.969 | lr=3.00e-04 | 47.8s
Epoch   6/103 | loss=2.4789 | val_PER=0.966 | lr=3.00e-04 | 47.3s
Epoch   7/103 | loss=2.2996 | val_PER=0.953 | lr=3.00e-04 | 47.8s
Epoch   8/103 | loss=2.1273 | val_PER=0.860 | lr=3.00e-04 | 48.1s
Epoch   9/103 | loss=1.9611 | val_PER=0.771 | lr=3.00e-04 | 47.9s
Epoch  10/103 | loss=1.7864 | val_PER=0.658 | lr=3.00e-04 | 48.2s
Epoch  11/103 | loss=1.6445 | val_PER=0.613 | lr=3.00e-04 | 48.4s
Epoch  12/103 | loss=1.5274 | val_PER=0.579 | lr=3.00e-04 | 47.7s
Epoch  13/103 | loss=1.4388 | val_PER=0.556 | lr=3.00e-04 | 47.6s
Epoch  14/103 | loss=1.3455 | val_PER=0.548 | lr=3.00e-04 | 47.6s
Epoch  15/103 | loss=1.3026 | val_PER=0.542 | lr=3.00e-04 | 47.7s
Epoch  16/103 | loss=1.2170 | val_PER=0.540 | lr=3.00e-04 | 47.6s
Epoch  17/103 | loss=1.1673 | val_PER=0.518 | lr=3.00e-04 | 47.7s
Epoch  18/103 | loss=1.1281 | val_PER=0.519 | lr=3.00e-04 | 48.4s
Epoch  19/103 | loss=1.0719 | val_PER=0.522 | lr=3.00e-04 | 47.9s
Epoch  20/103 | loss=1.0387 | val_PER=0.509 | lr=3.00e-04 | 48.6s
Epoch  21/103 | loss=1.0113 | val_PER=0.515 | lr=3.00e-04 | 48.7s
Epoch  22/103 | loss=0.9858 | val_PER=0.508 | lr=3.00e-04 | 47.7s
Epoch  23/103 | loss=0.9622 | val_PER=0.505 | lr=3.00e-04 | 48.2s
Epoch  24/103 | loss=0.9573 | val_PER=0.493 | lr=3.00e-04 | 47.6s
Epoch  25/103 | loss=0.9108 | val_PER=0.498 | lr=3.00e-04 | 48.2s
Epoch  26/103 | loss=0.8915 | val_PER=0.504 | lr=3.00e-04 | 48.8s
Epoch  27/103 | loss=0.8863 | val_PER=0.503 | lr=3.00e-04 | 48.2s
Epoch  28/103 | loss=0.8523 | val_PER=0.497 | lr=3.00e-04 | 48.5s
Epoch  29/103 | loss=0.8462 | val_PER=0.488 | lr=3.00e-04 | 47.6s
Epoch  30/103 | loss=0.8244 | val_PER=0.493 | lr=3.00e-04 | 48.2s
Epoch  31/103 | loss=0.7784 | val_PER=0.483 | lr=3.00e-04 | 48.3s
Epoch  32/103 | loss=0.7756 | val_PER=0.474 | lr=3.00e-04 | 48.5s
Epoch  33/103 | loss=0.7400 | val_PER=0.478 | lr=3.00e-04 | 48.2s
Epoch  34/103 | loss=0.7571 | val_PER=0.492 | lr=3.00e-04 | 48.4s
Epoch  35/103 | loss=0.7300 | val_PER=0.479 | lr=3.00e-04 | 47.6s
Epoch  36/103 | loss=0.7005 | val_PER=0.472 | lr=3.00e-04 | 48.4s
Epoch  37/103 | loss=0.6948 | val_PER=0.475 | lr=3.00e-04 | 47.8s
Epoch  38/103 | loss=0.7052 | val_PER=0.480 | lr=3.00e-04 | 47.6s
Epoch  39/103 | loss=0.7117 | val_PER=0.462 | lr=3.00e-04 | 46.9s
Epoch  40/103 | loss=0.6926 | val_PER=0.475 | lr=3.00e-04 | 47.3s
Epoch  41/103 | loss=0.6784 | val_PER=0.481 | lr=3.00e-04 | 47.5s
Epoch  42/103 | loss=0.7178 | val_PER=0.472 | lr=3.00e-04 | 48.0s
Epoch  43/103 | loss=0.6795 | val_PER=0.464 | lr=3.00e-04 | 48.2s
Epoch  44/103 | loss=0.6771 | val_PER=0.470 | lr=1.50e-04 | 47.8s
Epoch  45/103 | loss=0.5891 | val_PER=0.450 | lr=1.50e-04 | 47.5s
Epoch  46/103 | loss=0.5522 | val_PER=0.443 | lr=1.50e-04 | 47.7s
