======================================================================
PAPER REPLICA: Willett et al. 2023 Decoder
  GPUs: [0, 1]
  Batch size: 64 (paper: 64)
  LR: 0.0003 → 0 linear decay (paper: 0.02)
  Adam epsilon: 1e-08 (paper: 0.1)
  Noise: white=0.05, offset=0.0
  Stack: kernel=1 (20ms), stride=1 (20ms)
  Dropout: 0.3, L2: 1e-05
  Direction: BIDIRECTIONAL
======================================================================
  Loading trial 2000/8780 (28.7s)...
  Loading trial 4000/8780 (49.3s)...
  Loading trial 6000/8780 (69.5s)...
  Loading trial 8000/8780 (89.9s)...
Loaded 8780 trials from /mnt/home/vincent.wilmet/brain2speech/data/sentences_train.h5 (97.4s)
  Stacked: kernel=1, stride=1
  Stacked features: 1280D per 20ms step
  Avg stacked length: 315 steps

Sessions: 24 (18 train, 2 val, 4 test)
Train session indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
Trials: 6260 train, 720 val, 1800 test

Model: PaperGRUSimple (bidirectional), 38.5M params
  Input: 1280D stacked features
  Hidden: 512 × 5 layers
  Day-specific layers: 18 trained, 6 shared

Training schedule:
  Batches/epoch: 97
  Max epochs: 103
  Scheduler: ReduceLROnPlateau
  LR: 0.0003
Epoch   1/103 | loss=6.3141 | val_PER=1.000 | lr=3.00e-04 | 52.8s
Epoch   2/103 | loss=3.4933 | val_PER=1.000 | lr=3.00e-04 | 47.7s
Epoch   3/103 | loss=3.1504 | val_PER=0.984 | lr=3.00e-04 | 47.7s
Epoch   4/103 | loss=2.8042 | val_PER=0.972 | lr=3.00e-04 | 47.7s
Epoch   5/103 | loss=2.5401 | val_PER=0.968 | lr=3.00e-04 | 47.0s
Epoch   6/103 | loss=2.3931 | val_PER=0.950 | lr=3.00e-04 | 46.7s
Epoch   7/103 | loss=2.1428 | val_PER=0.871 | lr=3.00e-04 | 47.1s
Epoch   8/103 | loss=1.9546 | val_PER=0.794 | lr=3.00e-04 | 47.2s
Epoch   9/103 | loss=1.7997 | val_PER=0.688 | lr=3.00e-04 | 46.9s
Epoch  10/103 | loss=1.6350 | val_PER=0.617 | lr=3.00e-04 | 47.2s
Epoch  11/103 | loss=1.5345 | val_PER=0.606 | lr=3.00e-04 | 47.0s
Epoch  12/103 | loss=1.4306 | val_PER=0.588 | lr=3.00e-04 | 47.1s
Epoch  13/103 | loss=1.2954 | val_PER=0.588 | lr=3.00e-04 | 45.9s
Epoch  14/103 | loss=1.2791 | val_PER=0.550 | lr=3.00e-04 | 46.5s
Epoch  15/103 | loss=1.1695 | val_PER=0.544 | lr=3.00e-04 | 46.4s
Epoch  16/103 | loss=1.1097 | val_PER=0.536 | lr=3.00e-04 | 46.1s
Epoch  17/103 | loss=1.0434 | val_PER=0.525 | lr=3.00e-04 | 47.0s
