======================================================================
PAPER REPLICA: Willett et al. 2023 Decoder
  GPUs: [0, 1]
  Batch size: 64 (paper: 64)
  LR: 0.0003 → 0 linear decay (paper: 0.02)
  Adam epsilon: 1e-08 (paper: 0.1)
  Noise: white=0.2, offset=0.05
  Stack: kernel=1 (20ms), stride=1 (20ms)
  Dropout: 0.4, L2: 1e-05
  Direction: BIDIRECTIONAL
======================================================================
  Loading trial 2000/8780 (28.6s)...
  Loading trial 4000/8780 (49.3s)...
  Loading trial 6000/8780 (69.6s)...
  Loading trial 8000/8780 (89.9s)...
Loaded 8780 trials from /mnt/home/vincent.wilmet/brain2speech/data/sentences_train.h5 (97.5s)
  Stacked: kernel=1, stride=1
  Stacked features: 1280D per 20ms step
  Avg stacked length: 315 steps

Sessions: 24 (18 train, 2 val, 4 test)
Train session indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
Trials: 6260 train, 720 val, 1800 test

Model: PaperGRUSimple (bidirectional), 38.5M params
  Input: 1280D stacked features
  Hidden: 512 × 5 layers
  Day-specific layers: 18 trained, 6 shared

Training schedule:
  Batches/epoch: 97
  Max epochs: 103
  Scheduler: ReduceLROnPlateau
  LR: 0.0003
Epoch   1/103 | loss=6.2397 | val_PER=1.000 | lr=3.00e-04 | 54.8s
Epoch   2/103 | loss=3.5385 | val_PER=1.000 | lr=3.00e-04 | 49.0s
Epoch   3/103 | loss=3.3793 | val_PER=0.999 | lr=3.00e-04 | 49.0s
Epoch   4/103 | loss=3.0998 | val_PER=0.984 | lr=3.00e-04 | 49.3s
Epoch   5/103 | loss=2.8420 | val_PER=0.973 | lr=3.00e-04 | 48.4s
Epoch   6/103 | loss=2.6165 | val_PER=0.970 | lr=3.00e-04 | 48.6s
Epoch   7/103 | loss=2.4308 | val_PER=0.965 | lr=3.00e-04 | 48.6s
Epoch   8/103 | loss=2.2690 | val_PER=0.909 | lr=3.00e-04 | 48.3s
Epoch   9/103 | loss=2.1144 | val_PER=0.830 | lr=3.00e-04 | 49.5s
Epoch  10/103 | loss=1.9673 | val_PER=0.749 | lr=3.00e-04 | 49.3s
Epoch  11/103 | loss=1.8622 | val_PER=0.688 | lr=3.00e-04 | 48.8s
Epoch  12/103 | loss=1.7950 | val_PER=0.645 | lr=3.00e-04 | 48.8s
Epoch  13/103 | loss=1.7195 | val_PER=0.617 | lr=3.00e-04 | 47.9s
Epoch  14/103 | loss=1.6690 | val_PER=0.621 | lr=3.00e-04 | 48.2s
Epoch  15/103 | loss=1.5916 | val_PER=0.625 | lr=3.00e-04 | 47.7s
Epoch  16/103 | loss=1.5518 | val_PER=0.603 | lr=3.00e-04 | 49.5s
Epoch  17/103 | loss=1.5192 | val_PER=0.585 | lr=3.00e-04 | 48.9s
Epoch  18/103 | loss=1.4258 | val_PER=0.588 | lr=3.00e-04 | 48.7s
Epoch  19/103 | loss=1.4229 | val_PER=0.585 | lr=3.00e-04 | 48.3s
Epoch  20/103 | loss=1.4109 | val_PER=0.588 | lr=3.00e-04 | 48.5s
Epoch  21/103 | loss=1.4068 | val_PER=0.549 | lr=3.00e-04 | 48.6s
Epoch  22/103 | loss=1.3212 | val_PER=0.554 | lr=3.00e-04 | 48.6s
Epoch  23/103 | loss=1.2740 | val_PER=0.549 | lr=3.00e-04 | 48.7s
Epoch  24/103 | loss=1.2694 | val_PER=0.546 | lr=3.00e-04 | 48.7s
Epoch  25/103 | loss=1.2683 | val_PER=0.542 | lr=3.00e-04 | 49.4s
Epoch  26/103 | loss=1.2048 | val_PER=0.535 | lr=3.00e-04 | 48.1s
Epoch  27/103 | loss=1.1706 | val_PER=0.526 | lr=3.00e-04 | 48.6s
Epoch  28/103 | loss=1.1950 | val_PER=0.549 | lr=3.00e-04 | 48.6s
Epoch  29/103 | loss=1.2109 | val_PER=0.558 | lr=3.00e-04 | 48.7s
Epoch  30/103 | loss=1.2207 | val_PER=0.531 | lr=3.00e-04 | 49.5s
Epoch  31/103 | loss=1.1734 | val_PER=0.544 | lr=3.00e-04 | 49.2s
Epoch  32/103 | loss=1.1430 | val_PER=0.537 | lr=1.50e-04 | 48.5s
Epoch  33/103 | loss=1.0661 | val_PER=0.514 | lr=1.50e-04 | 49.7s
Epoch  34/103 | loss=0.9920 | val_PER=0.507 | lr=1.50e-04 | 49.3s
